CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,Marketcap Ratio,Circulating Ratio
" 528,907,000.00 "," 4,987.33 "," 75,134,412.79 ",bitcny,BTS, 0.00000943 , 0.142056 ," 528,907,000.00 "," 3,317.47 "," 49,977,800.00 ",66.518%,100%
" 2,278,150.00 ", 353.91 ," 5,330,005.30 ",unbreakablecoin,, 0.00015535 , 2.339620 ," 2,278,150.00 ", 193.28 ," 2,910,890.00 ",54.613%,100%
" 446,302.59 ", 134.13 ," 2,019,983.39 ",zero,, 0.00030053 , 4.526040 ," 446,302.59 ", 46.73 ," 703,804.00 ",34.842%,100%
" 70,000,000.02 ", 9.10 ," 137,048.80 ",slevin,, 0.00000013 , 0.001958 ," 70,000,000.02 ", 3.16 ," 47,643.90 ",34.764%,100%
" 7,738,634.93 ", 746.37 ," 11,240,522.00 ",magi,, 0.00009645 , 1.452520 ," 7,738,634.93 ", 240.25 ," 3,618,180.00 ",32.189%,100%
" 3,082,940.28 "," 3,219.92 "," 48,493,109.07 ",sphere,, 0.00104443 , 15.729500 ," 3,082,940.28 ", 910.55 ," 13,713,200.00 ",28.279%,100%
" 112,340,006.96 ", 13.48 ," 203,025.35 ",healthywormcoin,, 0.00000012 , 0.001807 ," 112,340,006.96 ", 3.29 ," 49,546.50 ",24.404%,100%
" 4,394,873.80 ", 6.20 ," 93,416.56 ",anarchistsprime,, 0.00000141 , 0.021256 ," 4,394,873.80 ", 1.48 ," 22,326.80 ",23.900%,100%
" 872,830.00 ", 15.59 ," 234,834.91 ",comet,, 0.00001786 , 0.269050 ," 872,830.00 ", 3.48 ," 52,468.70 ",22.343%,100%
" 9,362,087.25 "," 1,488.82 "," 22,422,198.97 ",spreadcoin,, 0.00015903 , 2.395000 ," 9,362,087.25 ", 284.82 ," 4,289,410.00 ",19.130%,100%
" 76,586,808.90 "," 4,352.60 "," 65,551,568.78 ",blackcoin,, 0.00005683 , 0.855912 ," 76,586,808.90 ", 753.10 ," 11,342,000.00 ",17.302%,100%
" 28,395,700.00 "," 2,158.43 "," 32,516,767.94 ",bitusd,BTS, 0.00007601 , 1.145130 ," 28,395,700.00 ", 345.25 ," 5,201,130.00 ",15.995%,100%
" 73,574,003.49 "," 3,248.44 "," 48,922,592.18 ",okcash,, 0.00004415 , 0.664944 ," 73,574,003.49 ", 515.37 ," 7,761,600.00 ",15.865%,100%
" 4,005,012.08 ", 2.36 ," 35,586.94 ",elysium,, 0.00000059 , 0.008886 ," 4,005,012.08 ", 0.34 ," 5,070.42 ",14.248%,100%
" 103,576,926.79 "," 3,056.56 "," 46,032,797.15 ",global-currency-reserve,, 0.00002951 , 0.444431 ," 103,576,926.79 ", 378.40 ," 5,698,890.00 ",12.380%,100%
" 704,882.00 ", 1.07 ," 16,048.89 ",rawcoin2,, 0.00000151 , 0.022768 ," 704,882.00 ", 0.13 ," 1,910.84 ",11.906%,100%
" 6,003,429,665.78 ", 667.92 ," 10,059,166.65 ",linda,, 0.00000011 , 0.001676 ," 6,003,429,665.78 ", 78.86 ," 1,187,600.00 ",11.806%,100%
" 6,268,082.49 ", 857.73 ," 12,917,640.49 ",breakout-stake,, 0.00013684 , 2.060860 ," 6,268,082.49 ", 97.06 ," 1,461,750.00 ",11.316%,100%
" 16,981,140.00 ", 856.27 ," 12,895,732.43 ",syndicate,, 0.00005042 , 0.759415 ," 16,981,140.00 ", 94.85 ," 1,428,460.00 ",11.077%,100%
" 74,107,896.00 ", 112.61 ," 1,695,929.56 ",redcoin,, 0.00000152 , 0.022885 ," 74,107,896.00 ", 11.98 ," 180,371.00 ",10.636%,100%
" 1,673,383.43 ", 213.61 ," 3,216,995.97 ",influxcoin,, 0.00012765 , 1.922450 ," 1,673,383.43 ", 21.16 ," 318,710.00 ",9.907%,100%
" 121,567,380.95 "," 3,345.45 "," 50,383,479.47 ",monetaryunit,, 0.00002752 , 0.414449 ," 121,567,380.95 ", 329.81 ," 4,967,090.00 ",9.859%,100%
" 219,117,471.79 "," 5,353.41 "," 80,624,273.74 ",potcoin,, 0.00002443 , 0.367950 ," 219,117,471.79 ", 500.81 ," 7,542,340.00 ",9.355%,100%
" 116,845,228.00 "," 1,441.41 "," 21,708,090.68 ",dopecoin,, 0.00001234 , 0.185785 ," 116,845,228.00 ", 133.05 ," 2,003,790.00 ",9.231%,100%
" 149,383,010,000.00 "," 1,600.85 "," 24,109,222.75 ",gcoin,, 0.00000001 , 0.000161 ," 149,383,010,000.00 ", 136.21 ," 2,051,350.00 ",8.509%,100%
" 4,400,709.00 ", 845.02 ," 12,726,366.35 ",exclusivecoin,, 0.00019202 , 2.891890 ," 4,400,709.00 ", 71.56 ," 1,077,710.00 ",8.468%,100%
" 3,422,830.43 "," 3,059.56 "," 46,077,800.99 ",radium,, 0.00089387 , 13.461900 ," 3,422,830.43 ", 252.38 ," 3,800,920.00 ",8.249%,100%
" 4,877,123.40 "," 3,087.07 "," 46,492,300.57 ",steem-dollars,, 0.00063297 , 9.532730 ," 4,877,123.40 ", 243.40 ," 3,665,720.00 ",7.885%,100%
" 39,311,825.00 "," 1,360.38 "," 20,487,711.41 ",belacoin,, 0.00003460 , 0.521159 ," 39,311,825.00 ", 107.14 ," 1,613,600.00 ",7.876%,100%
" 1,095,224.00 ", 11.47 ," 172,697.11 ",warp,, 0.00001047 , 0.157682 ," 1,095,224.00 ", 0.88 ," 13,228.00 ",7.660%,100%
" 19,628,888.00 "," 3,586.65 "," 54,032,832.58 ",moeda-loyalty-points,ETH, 0.00018272 , 2.752720 ," 19,628,888.00 ", 271.20 ," 4,085,690.00 ",7.561%,100%
" 32,086,595.26 ", 776.50 ," 11,694,280.51 ",trustplus,, 0.00002420 , 0.364460 ," 32,086,595.26 ", 57.07 ," 859,508.00 ",7.350%,100%
" 16,630,000.00 "," 5,147.65 "," 77,525,401.40 ",pascal-coin,, 0.00030954 , 4.661780 ," 16,630,000.00 ", 376.09 ," 5,664,040.00 ",7.306%,100%
" 44,220,400.29 ", 5.98 ," 90,071.21 ",women,, 0.00000014 , 0.002037 ," 44,220,400.29 ", 0.43 ," 6,439.42 ",7.149%,100%
" 1,438,534.72 ", 658.45 ," 9,916,495.95 ",veriumreserve,, 0.00045772 , 6.893470 ," 1,438,534.72 ", 45.94 ," 691,884.00 ",6.977%,100%
" 10,789,953.71 ", 12.65 ," 190,439.45 ",milocoin,, 0.00000117 , 0.017650 ," 10,789,953.71 ", 0.86 ," 12,897.70 ",6.773%,100%
" 540,261,178.00 "," 2,095.44 "," 31,558,060.09 ",musicoin,, 0.00000388 , 0.058413 ," 540,261,178.00 ", 139.99 ," 2,108,210.00 ",6.680%,100%
" 102,401,595,512.00 ", 417.90 ," 6,293,643.02 ",bunnycoin,, 0.00000000 , 0.000061 ," 102,401,595,512.00 ", 27.59 ," 415,452.00 ",6.601%,100%
" 30,565,410.08 "," 2,495.35 "," 37,580,783.00 ",vericoin,, 0.00008164 , 1.229520 ," 30,565,410.08 ", 162.78 ," 2,451,510.00 ",6.523%,100%
" 63,993,274.89 ", 138.49 ," 2,085,745.61 ",petrodollar,, 0.00000216 , 0.032593 ," 63,993,274.89 ", 8.99 ," 135,452.00 ",6.494%,100%
" 10,815,965.82 ", 567.08 ," 8,540,427.22 ",vtorrent,, 0.00005243 , 0.789613 ," 10,815,965.82 ", 35.61 ," 536,330.00 ",6.280%,100%
" 3,640,510.35 "," 3,163.76 "," 47,647,363.57 ",neoscoin,, 0.00086904 , 13.088100 ," 3,640,510.35 ", 196.15 ," 2,954,010.00 ",6.200%,100%
" 2,149,688.37 ", 371.88 ," 5,600,690.59 ",xios,, 0.00017299 , 2.605350 ," 2,149,688.37 ", 22.43 ," 337,821.00 ",6.032%,100%
" 100,000,000,000.00 ", 21.56 ," 324,847.00 ",dix-asset,NXT, 0.00000000 , 0.000003 ," 100,000,000,000.00 ", 1.30 ," 19,570.90 ",6.025%,100%
" 2,297,232,000.00 "," 2,984.75 "," 44,951,316.88 ",bitbean,, 0.00000130 , 0.019568 ," 2,297,232,000.00 ", 179.63 ," 2,705,350.00 ",6.018%,100%
" 8,658,139.14 "," 1,091.15 "," 16,433,061.50 ",auroracoin,, 0.00012603 , 1.897990 ," 8,658,139.14 ", 61.91 ," 932,422.00 ",5.674%,100%
" 9,952,089.00 ", 402.74 ," 6,067,261.20 ",cryptoping,WAVES, 0.00004047 , 0.609647 ," 9,952,089.00 ", 22.80 ," 343,421.00 ",5.660%,100%
" 6,272,959.00 "," 1,266.87 "," 19,079,455.72 ",transfercoin,, 0.00020196 , 3.041540 ," 6,272,959.00 ", 69.79 ," 1,051,010.00 ",5.509%,100%
" 16,511,828.17 ", 921.23 ," 13,878,422.74 ",creditbit,ETH, 0.00005579 , 0.840514 ," 16,511,828.17 ", 49.65 ," 748,044.00 ",5.390%,100%
" 21,010.10 ", 35.17 ," 529,782.28 ",bitsilver,BTS, 0.00167378 , 25.215600 ," 21,010.10 ", 1.80 ," 27,041.70 ",5.104%,100%
" 30,075,281.43 "," 1,953.59 "," 29,430,888.45 ",elixir,ETH, 0.00006496 , 0.978574 ," 30,075,281.43 ", 98.65 ," 1,486,160.00 ",5.050%,100%
 51.47 , 59.60 ," 897,818.60 ",bitbtc,BTS, 1.15788000 ," 17,443.600000 ", 51.47 , 2.93 ," 44,162.00 ",4.919%,100%
" 2,022,464.89 ", 850.55 ," 12,809,524.06 ",korecoin,, 0.00042055 , 6.333620 ," 2,022,464.89 ", 39.58 ," 596,016.00 ",4.653%,100%
" 24,947,260,808.00 "," 1,256.27 "," 18,919,803.02 ",mintcoin,, 0.00000005 , 0.000758 ," 24,947,260,808.00 ", 57.19 ," 861,344.00 ",4.553%,100%
" 8,015,698.76 "," 2,507.97 "," 37,782,717.53 ",swarm-city,ETH, 0.00031288 , 4.713590 ," 8,015,698.76 ", 112.70 ," 1,697,880.00 ",4.494%,100%
" 132,154,534.41 "," 1,137.47 "," 17,130,663.68 ",pesetacoin,, 0.00000861 , 0.129626 ," 132,154,534.41 ", 49.99 ," 752,821.00 ",4.395%,100%
" 1,134,236,103.79 ", 11.34 ," 170,819.36 ",usde,, 0.00000001 , 0.000151 ," 1,134,236,103.79 ", 0.49 ," 7,371.03 ",4.315%,100%
" 11,821,727.88 ", 17.16 ," 258,456.07 ",printerium,, 0.00000145 , 0.021863 ," 11,821,727.88 ", 0.73 ," 11,042.40 ",4.272%,100%
" 1,541,781,750.00 "," 2,274.16 "," 34,249,602.33 ",myriad,, 0.00000148 , 0.022214 ," 1,541,781,750.00 ", 95.11 ," 1,432,420.00 ",4.182%,100%
" 4,127,241.82 ", 14.19 ," 213,675.98 ",kronecoin,, 0.00000344 , 0.051772 ," 4,127,241.82 ", 0.59 ," 8,936.04 ",4.182%,100%
" 61,537,175.00 ", 21.03 ," 316,780.45 ",virta-unique-coin,, 0.00000034 , 0.005148 ," 61,537,175.00 ", 0.86 ," 12,880.20 ",4.066%,100%
" 1,220,160.95 ", 18.32 ," 275,884.49 ",goldpieces,, 0.00001501 , 0.226105 ," 1,220,160.95 ", 0.72 ," 10,887.80 ",3.947%,100%
" 66,521,586.00 "," 3,170.35 "," 47,761,434.40 ",nexium,ETH, 0.00004766 , 0.717984 ," 66,521,586.00 ", 123.84 ," 1,865,690.00 ",3.906%,100%
" 833,475,106.51 ", 634.22 ," 9,551,541.37 ",bitcoinz,, 0.00000076 , 0.011460 ," 833,475,106.51 ", 24.22 ," 364,780.00 ",3.819%,100%
" 284,332,005.60 ", 30.18 ," 454,493.34 ",kayicoin,, 0.00000011 , 0.001598 ," 284,332,005.60 ", 1.15 ," 17,244.10 ",3.794%,100%
" 420,000.00 ", 2.25 ," 33,903.83 ",xonecoin,, 0.00000536 , 0.080723 ," 420,000.00 ", 0.09 ," 1,284.28 ",3.788%,100%
" 14,491,014,421.20 ", 91.82 ," 1,382,810.85 ",lottocoin,, 0.00000001 , 0.000095 ," 14,491,014,421.20 ", 3.43 ," 51,672.90 ",3.737%,100%
" 27,021,001.00 ", 7.09 ," 106,739.44 ",bnrtxcoin,, 0.00000026 , 0.003950 ," 27,021,001.00 ", 0.26 ," 3,907.26 ",3.661%,100%
" 4,764,026.33 ", 434.90 ," 6,549,773.97 ",parkbyte,, 0.00009129 , 1.374840 ," 4,764,026.33 ", 15.73 ," 236,867.00 ",3.616%,100%
" 852,713.64 ", 55.84 ," 840,915.50 ",litecoin-plus,, 0.00006548 , 0.986164 ," 852,713.64 ", 2.01 ," 30,203.50 ",3.592%,100%
" 792,537,250.00 "," 1,253.12 "," 18,872,372.52 ",artbyte,, 0.00000158 , 0.023813 ," 792,537,250.00 ", 42.47 ," 639,682.00 ",3.390%,100%
" 27,768,739.28 "," 2,639.38 "," 39,749,839.54 ",stealthcoin,, 0.00009505 , 1.431460 ," 27,768,739.28 ", 87.05 ," 1,311,050.00 ",3.298%,100%
" 191,381,257.00 "," 2,295.79 "," 34,586,229.38 ",investfeed,ETH, 0.00001200 , 0.180719 ," 191,381,257.00 ", 75.50 ," 1,137,390.00 ",3.289%,100%
" 6,256,599.98 ", 33.16 ," 499,400.56 ",catcoin,, 0.00000530 , 0.079820 ," 6,256,599.98 ", 1.08 ," 16,260.30 ",3.256%,100%
" 7,344,584.48 ", 204.21 ," 3,075,493.34 ",moin,, 0.00002780 , 0.418743 ," 7,344,584.48 ", 6.63 ," 99,827.00 ",3.246%,100%
