,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
ripple,24527106.0116,3.69385488033e+11,ripple,0.000245288,3.69411,1,99993093880.0,549219.0,8271420000.0,38739144847.0
bitcoin,16781112.0,2.55131636292e+11,bitcoin,1.0,15203.5,2,16781112.0,1227740.0,18490200000.0,16781112.0
ethereum,6158032.11517,92742038567.1,ethereum,0.0636426,958.479,3,96759593.6553,353648.0,5326050000.0,96759593.6553
stellar,6043351.88976,91014898464.1,stellar,5.83501e-05,0.878772,4,1.03570548975e+11,96723.0,1456680000.0,17877222502.2
solarcoin,5458208.68061,82202476559.2,solarcoin,5.56765e-05,0.838507,5,98034335502.5,89.3109,1345050.0,38461571.0915
bitcoin-cash,2799034.1784,42154269625.1,bitcoin-cash,0.165696,2495.43,7,16892587.5,355666.0,5356450000.0,16892587.5
cardano,2516536.35896,37899983198.8,cardano,8.08851e-05,1.21816,8,31112483745.0,49579.1,746678000.0,25927070538.0
nem,1114181.99988,16779869998.1,nem,0.000123798,1.86443,9,8999999999.0,26358.0,396960000.0,8999999999.0
litecoin,863289.015766,13001429416.0,litecoin,0.0158094,238.095,10,54606058.1531,233159.0,3511450000.0,54606058.1531
iota,753447.273813,11347154427.3,iota,0.00027107,4.0824,11,2779530283.0,15221.8,229245000.0,2779530283.0
neo,672338.0,10125600000.0,neo,0.00672338,101.256,12,100000000.0,19778.0,297864000.0,65000000.0
dash,597302.890913,8995566800.54,dash,0.076604,1153.68,13,7797280.70222,12218.8,184019000.0,7797280.70222
monero,424957.550578,6399999857.36,monero,0.0273093,411.287,14,15560909.6747,11817.9,177982000.0,15560909.6747
qtum,390126.855399,5875434050.16,qtum,0.00389029,58.589,16,100282204.0,44542.3,670822000.0,73782204.0
bitcoin-gold,298290.986693,4492371275.41,bitcoin-gold,0.0177088,266.701,18,16844223.589,7576.93,114111000.0,16744223.589
bitconnect,271174.007306,4083972731.95,bitconnect,0.0287289,432.667,19,9439066.83882,1670.15,25153000.0,6160724.17423
raiblocks,239980.168886,3614186622.34,raiblocks,0.001801,27.1237,20,133248289.221,4803.26,72338700.0,133248289.221
ethereum-classic,222257.380312,3347266617.51,ethereum-classic,0.00224812,33.8574,21,98863664.0,79305.4,1194370000.0,98863664.0
vechain,193317.433038,2911429168.8,vechain,0.000222931,3.35742,22,867162633.45,13243.7,199455000.0,277162633.45
lisk,175572.5235,2644178563.28,lisk,0.00150528,22.67,24,116637784.0,6781.03,102125000.0,116637784.0
verge,157381.36113,2370201396.5,verge,1.08562e-05,0.163497,25,14496910625.3,31361.5,472314000.0,14496910625.3
bitshares,143815.2451,2165904744.6,bitshares,5.51735e-05,0.830931,26,2606600000.0,5425.13,81704300.0,2606600000.0
steem,130535.853598,1965911233.15,steem,0.000496301,7.47445,27,263017510.74,4260.37,64162600.0,246043416.74
zcash,110887.528093,1670001369.79,zcash,0.0371949,560.167,28,2981256.25,9703.14,146133000.0,2981256.25
stratis,106768.511145,1607966995.9,stratis,0.00108189,16.2936,29,98687030.239,3513.26,52910800.0,98687030.239
firstcoin,101650.89,1530892000.0,firstcoin,0.000924099,13.9172,30,110000000.0,24.3324,366454.0,1869936.2
e-coin,90064.9339238,1356407493.24,e-coin,0.000422437,6.36204,32,213203232.491,0.239304,3604.0,4914340.49109
waves,85909.9,1293830000.0,waves,0.000859099,12.9383,33,100000000.0,3945.45,59419800.0,100000000.0
kucoin-shares,85608.5720466,1289294644.87,kucoin-shares,0.000472863,7.12148,34,181043076.0,981.216,14777400.0,91043076.0001
skycoin,78634.75,1184267500.0,skycoin,0.00314539,47.3707,35,25000000.0,115.414,1738170.0,6833835.55
bytecoin-bcn,76647.6233866,1154339670.01,bytecoin-bcn,4.1826e-07,0.00629914,36,1.83253534612e+11,679.666,10236000.0,1.83253534612e+11
dogecoin,68232.9375009,1027611468.33,dogecoin,6.05866e-07,0.00912455,37,1.12620509322e+11,4414.21,66479500.0,1.12620509322e+11
hshare,67870.6446472,1022156497.85,hshare,0.00159868,24.0767,38,42454177.6011,14016.7,211096000.0,42454177.6011
siacoin,67104.2390635,1010610549.19,siacoin,2.13734e-06,0.032189,40,31396146174.0,2188.95,32966300.0,31396146174.0
komodo,65722.3503905,989799778.403,komodo,0.000632602,9.52719,41,103892100.231,839.984,12650400.0,103892100.231
ark,63098.7251884,950288031.453,ark,0.000488262,7.35339,42,129231284.0,1188.77,17903300.0,97981284.0
byteball,53729.5,809185000.0,byteball,0.0537295,809.185,43,1000000.0,202.445,3048890.0,645222.052938
gxshares,50077.2,754179000.0,gxshares,0.000500772,7.54179,44,100000000.0,1594.46,24013000.0,40510000.0
digibyte,49746.3630767,749196596.795,digibyte,5.15672e-06,0.0776619,45,9646900176.21,5307.23,79928600.0,9646900176.21
decred,48416.7161777,729168161.419,decred,0.00700838,105.548,46,6908403.3939,458.812,6909870.0,6488403.3939
experience-points,41461.6374443,624427798.595,experience-points,1.69276e-07,0.00254936,47,2.4493512042e+11,1473.1,22185400.0,2.06906982872e+11
nxt,40886.3703061,615761585.947,nxt,4.09273e-05,0.616378,48,998999941.508,6714.08,101116000.0,998999941.508
pivx,38678.8526057,582514405.355,pivx,0.000699801,10.5392,49,55271216.5396,475.833,7166200.0,55271216.5396
factom,38058.4215509,573172349.794,factom,0.00435197,65.5421,50,8745102.0,3045.37,45864300.0,8745102.0
monacoin,36806.0304314,554311143.903,monacoin,0.000651696,9.81476,52,56477299.8935,1008.03,15181300.0,56477299.8935
library-credit,36740.371913,553322049.093,library-credit,7.13517e-05,1.07458,53,514919363.0,612.869,9230000.0,128019360.001
reddcoin,35197.3683322,530085311.05,reddcoin,1.22582e-06,0.0184613,55,28713325229.0,8666.13,130515000.0,28713325229.0
bitcore,31572.6005104,475493793.581,bitcore,0.00188711,28.4205,56,16730662.5,447.845,6744690.0,2186241.32814
smartcash,31337.9898618,471960613.571,smartcash,2.72729e-05,0.410739,57,1149052350.94,60.7194,914455.0,548008071.736
bitcoindark,31278.6230281,471066239.659,bitcoindark,0.0242684,365.49,58,1288862.18408,16.6275,250416.0,1288862.18408
cryptonex,30888.380679,465188662.683,cryptonex,0.000290073,4.36859,59,106484852.706,16.008,241085.0,45047227.0131
xtrabytes,30159.415,454210900.0,xtrabytes,4.63991e-05,0.698786,60,650000000.0,517.851,7799010.0,430000000.0
electroneum,30104.8292244,453388442.22,electroneum,5.79467e-06,0.0872696,61,5195262064.0,487.127,7336290.0,4997507466.0
zcoin,29640.7038202,446397655.253,zcoin,0.0077871,117.276,62,3806385.40923,1237.12,18631500.0,3806385.40923
achain,27846.2,419372000.0,achain,2.78462e-05,0.419372,64,1000000000.0,454.001,6837410.0,300000000.0
syscoin,27626.4869979,416063901.068,syscoin,5.21251e-05,0.785021,65,530003529.929,1262.12,19008000.0,530003529.929
bitbay,26770.679905,403175260.167,bitbay,2.65376e-05,0.399665,66,1008783006.19,5125.54,77192300.0,1008783006.19
harmonycoin-hmc,26558.381106,399977297.345,harmonycoin-hmc,7.91239e-07,0.0119163,67,33565561235.0,0.200941,3026.23,561235.032413
hollywoodcoin,21238.2950586,319855233.001,hollywoodcoin,0.00104798,15.7829,69,20265935.4745,52.8359,795726.0,910657.474545
vertcoin,19681.4972627,296409657.076,vertcoin,0.000464933,7.00204,71,42331900.0,1130.68,17028500.0,42331900.0
procurrency,19091.8686228,287529551.882,procurrency,1.27249e-06,0.0191641,72,15003551008.5,0.829425,12491.4,96366213.68
capricoin,19085.5427047,287434942.55,capricoin,9.49553e-05,1.43006,73,200995022.971,232.36,3499420.0,1990045.0
gamecredits,18683.903214,281386053.978,gamecredits,0.000290324,4.37238,74,64355352.0,504.362,7595860.0,64355352.0
nexus,18249.3415574,274841296.895,nexus,0.000333027,5.0155,75,54798384.3874,716.19,10786100.0,54798384.3874
lykke,18029.23087,271526156.79,lykke,1.4023e-05,0.211191,76,1285690000.0,8.73034,131482.0,265202519.24
ubiq,16960.6324491,255432607.863,ubiq,0.000434658,6.54609,77,39020637.9477,591.057,8901520.0,39020637.9477
blocknet,16549.5555589,249241649.904,blocknet,0.00333953,50.2944,78,4955654.1067,92.1499,1387810.0,4955654.1067
einsteinium,16482.5355054,248232128.84,einsteinium,7.62202e-05,1.1479,79,216248914.4,2064.3,31089100.0,216248914.4
straks,15362.9634413,231371048.733,straks,0.000367744,5.53834,80,41776245.0,6.22654,93773.8,781587.000497
nav-coin,14896.569043,224346894.422,nav-coin,0.000239278,3.6036,81,62256325.4583,616.422,9283520.0,62256325.4583
zephyr,13707.92,206446000.0,zephyr,6.85396e-06,0.103223,83,2000000000.0,2.80929,42308.8,125990535.381
russian-mining-coin,13647.72861,205538301.8,russian-mining-coin,1.26873,19107.4,84,10757.0,1.00863,15190.3,1507.0
metaverse,13291.9759342,200181079.476,metaverse,0.000236089,3.55557,85,56300699.8809,686.069,10332400.0,36900699.8811
bridgecoin,13251.303,199569150.0,bridgecoin,0.000490789,7.39145,86,27000000.0,22.8192,343664.0,27000000.0
clams,13030.1705483,196239358.795,clams,0.000788964,11.8821,87,16515545.1305,188.775,2843020.0,2798510.30976
kilocoin,12296.9944691,185197282.124,kilocoin,1.22661e-06,0.0184732,88,10025186872.0,0.99327,14959.0,196297971.01
zclassic,11971.247864,180291009.14,zclassic,0.00661468,99.6193,89,1809800.0,1875.27,28242100.0,1809800.0
particl,11795.1290586,177639059.317,particl,0.00133666,20.1306,90,8824330.09036,66.7899,1005880.0,7828330.09036
decent,11155.8532944,168010852.958,decent,0.000152407,2.2953,92,73197775.0,141.278,2127700.0,51306089.0
iticoin,11090.490657,167025859.292,iticoin,0.00110905,16.7026,93,9999991.57566,0.114804,1728.98,32000.0
electra,10134.9768086,152636018.409,electra,4.40798e-07,0.00663856,94,22992338460.3,331.686,4995300.0,22654033737.5
fincoin,9897.42921127,149058691.046,fincoin,5.45951e-06,0.0822221,95,1812878667.0,0.0372408,560.859,12878667.0
cloakcoin,9671.85873726,145661582.6,cloakcoin,0.00191382,28.8228,96,5053693.0,256.323,3860310.0,5053693.0
digitalnote,9509.21469899,143211454.657,digitalnote,1.38101e-06,0.0207984,97,6885695758.17,641.325,9658570.0,6885695758.17
zencash,9370.8876125,141128586.125,zencash,0.00320612,48.2852,98,2922812.5,272.805,4108540.0,2922812.5
asch,9227.13916117,138963770.567,asch,8.15666e-05,1.22842,99,113123989.0,325.649,4904380.0,91623989.0
minexcoin,9165.0,138027600.0,minexcoin,0.0015275,23.0046,100,6000000.0,15.6272,235351.0,3000000.0
emercoin,9028.95565146,135978837.618,emercoin,0.000219463,3.30518,101,41141129.2631,161.169,2427250.0,41141129.2631
peercoin,8986.11659752,135333658.162,peercoin,0.000365972,5.51165,102,24554109.5972,213.201,3210880.0,24554109.5972
feathercoin,8937.52701569,134602140.481,feathercoin,4.77427e-05,0.719021,103,187201960.0,491.446,7401330.0,187201960.0
deeponion,8756.89229539,131881785.851,deeponion,0.000454333,6.84241,104,19274171.7978,49.2539,741780.0,4706307.22775
rise,8665.56892032,130506067.2,rise,7.65921e-05,1.1535,105,113139200.0,629.595,9481910.0,113139200.0
paccoin,8629.92146268,129969384.276,paccoin,2.54059e-09,3.82621e-05,106,3.39681785045e+12,192.321,2896420.0,3.39681785045e+12
hempcoin,8400.5172216,126514598.741,hempcoin,3.648e-05,0.549401,107,230277336.118,380.775,5734600.0,230277336.118
colossuscoinxt,8297.78317476,124967025.809,colossuscoinxt,6.79874e-07,0.0102391,108,12204883809.0,69.1103,1040820.0,4027031669.48
groestlcoin,8263.95323247,124457485.214,groestlcoin,0.000119517,1.79996,109,69144583.8874,305.714,4604150.0,69144583.8874
voxels,8239.497,124089630.0,voxels,3.92357e-05,0.590903,110,210000000.0,1802.47,27145800.0,210000000.0
gulden,8104.261275,122052549.93,gulden,1.75725e-05,0.264647,111,461190000.0,116.439,1753600.0,389690000.0
viacoin,8071.69831152,121562423.812,viacoin,0.000351744,5.29738,112,22947650.3125,227.823,3431100.0,22947650.3125
neblio,7112.73063777,107120139.599,neblio,0.000529585,7.97573,114,13430763.0272,173.578,2614150.0,12690879.7058
burst,7033.27954659,105923533.294,burst,3.90664e-06,0.0588353,115,1800339818.0,397.802,5991030.0,1800339818.0
spectrecoin,6981.85334929,105149117.542,spectrecoin,0.000335904,5.05883,116,20785264.0912,79.4407,1196400.0,20785264.0912
shift,6975.19436659,105048756.548,shift,0.00060248,9.07355,117,11577470.4,212.374,3198420.0,11577470.4
