,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
veritaseum,2502010.0,37692900000.0,veritaseum,ETH,0.0250201,376.929,1,100000000.0,71.3224,1074480.0,2036645.44
tron,1001030.0,15080500000.0,tron,ETH,1.00103e-05,0.150805,4,1e+11,140106.0,2110700000.0,65748192475.5
eos,699231.6,10533960000.0,eos,ETH,0.000776924,11.7044,5,900000000.0,70944.6,1068780000.0,581265183.828
kin,305102.0,4596380000.0,kin,ETH,3.05102e-08,0.000459638,7,1e+13,98.6161,1485660.0,7.56097560976e+11
status,277124.935401,4174896729.67,status,ETH,4.07245e-05,0.613516,8,6804870174.0,33517.0,504936000.0,3470483788.0
aion,246926.693546,3719965827.74,aion,ETH,0.00052996,7.98388,9,465934586.66,1888.79,28454700.0,61299855.8853
dent,241383.0,3636450000.0,dent,ETH,2.41383e-06,0.0363645,10,1e+11,1696.66,25560300.0,10614760961.2
icon,188328.2265,2837170435.5,icon,ETH,0.00047055,7.08885,11,400230000.0,8952.48,134870000.0,377545005.0
omisego,186426.805433,2808526296.18,omisego,ETH,0.00132929,20.0258,12,140245398.245,9342.93,140752000.0,102042551.763
gnosis-gno,171991.0,2591050000.0,gnosis-gno,ETH,0.0171991,259.105,13,10000000.0,369.233,5562510.0,1104590.0
populous,165793.412607,2497684768.91,populous,ETH,0.00311336,46.9029,14,53252246.0,792.648,11941300.0,37004026.8944
ardor,127053.754774,1914073042.43,ardor,NXT,0.000127181,1.91599,16,998999495.0,2320.56,34959300.0,998999495.0
binance-coin,121200.302568,1825889471.93,binance-coin,ETH,0.000609004,9.17468,17,199013968.0,7217.58,108733000.0,99014000.0
power-ledger,116388.0,1753390000.0,power-ledger,ETH,0.000116388,1.75339,18,1000000000.0,6425.73,96804000.0,358194177.92
rchain,114790.026923,1729320697.31,rchain,ETH,0.000131842,1.98621,19,870663574.0,157.187,2368040.0,182963195.1
jinn,113027.0,1702760000.0,jinn,NXT,0.113027,1702.76,20,1000000.0,0.226054,3405.51,58703.0
wax,101977.365,1536293650.0,wax,ETH,5.51229e-05,0.830429,21,1850000000.0,606.816,9141720.0,492954537.351
ethos,97974.6123742,1475991277.76,ethos,ETH,0.000440741,6.63978,23,222295208.238,876.828,13209500.0,75401962.3785
deepbrain-chain,97877.8,1474530000.0,deepbrain-chain,NEO,9.78778e-06,0.147453,24,10000000000.0,807.322,12162300.0,900000000.0
salt,97646.16,1471044000.0,salt,ETH,0.000813718,12.2587,25,120000000.0,2857.73,43051900.0,54511385.3582
tether,92769.6986923,1397578777.7,tether,OMNI,6.62641e-05,0.998271,26,1399999376.62,177774.0,2678180000.0,1368089836.52
civic,85648.4,1290300000.0,civic,ETH,8.56484e-05,1.2903,27,1000000000.0,4336.34,65327100.0,342699966.0
funfair,82408.5232006,1241489736.41,funfair,ETH,7.49177e-06,0.112864,28,10999873621.4,3192.9,48101100.0,4249873621.73
dragonchain,73786.3886051,1111596779.97,dragonchain,ETH,0.000170213,2.56427,29,433494437.0,862.462,12993000.0,238421940.0
