Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
bitcoin,BTC,"$286,324,060,600 ","$17,109.50 ","16,734,800","$12,030,600,000 ",2.36%,10.37%,49.01%,
ethereum,ETH,"$45,707,309,464 ",$474.75 ,"96,277,601","$1,433,370,000 ",-0.62%,4.87%,2.06%,
bitcoin-cash,BCH,"$23,999,455,000 ","$1,424.30 ","16,850,000","$942,782,000 ",-0.19%,7.53%,-7.71%,
iota,MIOTA,"$12,052,793,780 ",$4.34 ,"2,779,530,283 *","$465,766,000 ",0.21%,1.61%,56.36%,
litecoin,LTC,"$10,349,491,451 ",$190.75 ,"54,258,258","$1,961,470,000 ",-3.77%,25.23%,89.20%,
ripple,XRP,"$9,673,668,077 ",$0.25 ,"38,739,144,847 *","$174,179,000 ",0.10%,5.17%,-0.58%,
dash,DASH,"$5,734,570,452 ",$740.21 ,"7,747,200","$181,300,000 ",-0.75%,6.11%,-3.19%,
monero,XMR,"$4,197,031,032 ",$271.67 ,"15,449,232","$140,033,000 ",0.10%,9.77%,33.56%,
bitcoin-gold,BTG,"$4,157,884,031 ",$248.96 ,"16,700,811","$249,834,000 ",-1.83%,12.03%,-22.98%,
nem,XEM,"$4,114,125,000 ",$0.46 ,"8,999,999,999 *","$65,826,000 ",-0.83%,13.11%,64.07%,
cardano,ADA,"$3,018,533,260 ",$0.12 ,"25,927,070,538 *","$37,964,900 ",-1.33%,5.08%,-13.20%,
ethereum-classic,ETC,"$2,689,611,263 ",$27.36 ,"98,297,679","$426,799,000 ",-2.01%,1.90%,-9.28%,
stellar,XLM,"$2,477,556,012 ",$0.14 ,"17,838,645,889 *","$111,471,000 ",-2.82%,12.39%,48.54%,
eos,EOS,"$2,352,181,516 ",$4.42 ,"532,666,687 *","$143,746,000 ",-1.21%,15.62%,15.22%,
neo,NEO,"$2,329,795,000 ",$35.84 ,"65,000,000 *","$73,682,900 ",-0.83%,5.32%,-13.24%,
bitconnect,BCC,"$1,839,319,698 ",$384.91 ,"4,778,620","$39,074,800 ",2.12%,1.90%,18.43%,
populous,PPT,"$1,178,877,810 ",$28.58 ,"41,252,246 *","$3,420,770 ",-0.02%,11.21%,115.63%,
stratis,STRAT,"$1,084,879,306 ",$11.00 ,"98,656,782 *","$63,008,800 ",1.70%,26.71%,53.96%,
waves,WAVES,"$1,072,420,000 ",$10.72 ,"100,000,000 *","$73,299,900 ",-1.41%,7.16%,64.79%,
lisk,LSK,"$981,230,291 ",$8.47 ,"115,829,544 *","$28,742,600 ",1.31%,3.95%,-0.78%,
qtum,QTUM,"$968,487,664 ",$13.14 ,"73,696,328 *","$214,089,000 ",-1.41%,13.11%,-3.53%,
omisego,OMG,"$903,305,158 ",$8.85 ,"102,042,552 *","$47,174,200 ",-2.00%,9.23%,-10.77%,
zcash,ZEC,"$891,440,875 ",$316.88 ,"2,813,181","$115,840,000 ",-1.29%,2.92%,-2.72%,
tether,USDT,"$846,736,307 ",$1.01 ,"839,017,348 *","$1,509,920,000 ",-0.01%,-0.57%,0.55%,
monacoin,MONA,"$831,216,456 ",$14.86 ,"55,941,775","$28,517,700 ",0.21%,-2.23%,80.01%,
hshare,HSR,"$729,808,301 ",$17.23 ,"42,359,050","$77,758,200 ",3.25%,29.76%,1.04%,
nxt,NXT,"$658,782,519 ",$0.66 ,"998,999,942 *","$106,742,000 ",-0.74%,15.84%,48.62%,
ardor,ARDR,"$586,012,105 ",$0.59 ,"998,999,495 *","$6,492,990 ",-1.33%,16.59%,5.75%,
bytecoin-bcn,BCN,"$490,754,798 ",$0.00 ,"183,253,534,612","$7,643,220 ",0.95%,5.51%,28.91%,
bitshares,BTS,"$457,981,335 ",$0.18 ,"2,604,490,000 *","$11,977,200 ",0.63%,3.68%,2.16%,
steem,STEEM,"$416,795,092 ",$1.69 ,"246,284,763 *","$3,692,210 ",-0.65%,-1.38%,19.37%,
salt,SALT,"$381,392,832 ",$7.55 ,"50,524,641 *","$15,197,000 ",1.72%,-0.43%,14.81%,
decred,DCR,"$373,627,356 ",$58.97 ,"6,336,222","$2,706,730 ",2.27%,-0.84%,4.36%,
veritaseum,VERI,"$372,020,438 ",$183.62 ,"2,026,045 *","$962,625 ",5.74%,15.41%,73.20%,
einsteinium,EMC2,"$368,712,940 ",$1.71 ,"216,122,095","$71,315,100 ",0.37%,-9.15%,94.64%,
vertcoin,VTC,"$367,014,544 ",$8.74 ,"41,998,950","$27,459,500 ",-2.76%,13.78%,6.72%,
ark,ARK,"$356,229,574 ",$3.64 ,"97,981,284 *","$7,800,160 ",-3.29%,1.72%,-10.16%,
augur,REP,"$342,524,600 ",$31.14 ,"11,000,000 *","$4,179,290 ",3.22%,7.49%,-13.07%,
tron,TRX,"$334,702,351 ",$0.01 ,"65,748,192,476 *","$18,897,200 ",0.97%,14.40%,140.80%,
komodo,KMD,"$330,970,281 ",$3.19 ,"103,726,751","$6,156,510 ",2.25%,7.24%,1.27%,
dogecoin,DOGE,"$316,532,629 ",$0.00 ,"112,301,365,636","$6,049,370 ",1.83%,7.73%,19.96%,
siacoin,SC,"$269,458,680 ",$0.01 ,"31,396,146,174","$4,599,370 ",0.66%,8.15%,-18.06%,
golem,GNT,"$269,285,924 ",$0.32 ,"833,032,000 *","$3,461,250 ",1.72%,9.90%,-7.74%,
binance-coin,BNB,"$266,094,184 ",$2.69 ,"99,014,000 *","$18,717,300 ",-0.47%,6.03%,9.87%,
pivx,PIVX,"$249,071,665 ",$4.52 ,"55,099,596 *","$1,892,210 ",0.59%,2.59%,-15.31%,
santiment,SAN,"$240,644,356 ",$3.98 ,"60,522,560 *","$58,940,700 ",-1.14%,33.03%,57.43%,
maidsafecoin,MAID,"$220,993,562 ",$0.49 ,"452,552,412 *","$3,238,170 ",1.16%,7.82%,-15.21%,
tenx,PAY,"$218,509,790 ",$2.09 ,"104,661,310 *","$5,770,260 ",-1.45%,2.71%,-19.53%,
qash,QASH,"$218,338,050 ",$0.62 ,"350,000,000 *","$16,640,300 ",1.15%,-11.64%,-29.58%,
basic-attention-token,BAT,"$216,863,000 ",$0.22 ,"1,000,000,000 *","$13,753,600 ",-5.93%,20.65%,12.53%,
status,SNT,"$215,648,228 ",$0.06 ,"3,470,483,788 *","$21,257,200 ",-0.32%,13.11%,-17.18%,
digixdao,DGD,"$207,342,000 ",$103.67 ,"2,000,000 *","$1,097,490 ",1.63%,3.74%,-12.74%,
syscoin,SYS,"$204,219,249 ",$0.39 ,"529,475,551","$8,271,240 ",-1.97%,18.85%,0.01%,
cryptonex,CNX,"$198,297,694 ",$4.41 ,"45,005,366","$195,862 ",0.00%,8.28%,33.88%,
factom,FCT,"$194,716,692 ",$22.27 ,"8,745,102 *","$7,567,430 ",-2.64%,10.19%,-4.98%,
byteball,GBYTE,"$187,185,370 ",$290.11 ,"645,222 *","$507,087 ",2.91%,-1.24%,4.13%,
power-ledger,POWR,"$185,869,565 ",$0.53 ,"351,092,105 *","$42,961,300 ",-3.08%,-3.16%,-25.97%,
bitcoindark,BTCD,"$183,918,056 ",$142.70 ,"1,288,862","$187,956 ",2.27%,1.37%,-2.05%,
walton,WTC,"$176,711,084 ",$7.10 ,"24,898,178 *","$12,052,500 ",-1.48%,-2.52%,-23.48%,
exchange-union,XUC,"$176,359,514 ",$7.11 ,"24,798,538 *","$656,042 ",1.58%,-5.09%,2.67%,
kyber-network,KNC,"$171,665,708 ",$1.28 ,"134,132,697 *","$12,464,200 ",1.57%,1.89%,0.26%,
monaco,MCO,"$170,968,848 ",$15.88 ,"10,768,877 *","$72,087,100 ",-0.85%,22.85%,36.42%,
decentraland,MANA,"$168,330,451 ",$0.07 ,"2,273,755,650 *","$28,092,100 ",-1.38%,-11.86%,319.46%,
zcoin,XZC,"$165,901,015 ",$45.69 ,"3,630,831","$7,312,560 ",-1.15%,11.76%,14.87%,
bytom,BTM,"$161,140,581 ",$0.16 ,"987,000,000 *","$1,051,850 ",0.20%,-1.46%,36.06%,
gas,GAS,"$157,460,721 ",$18.32 ,"8,597,035 *","$1,548,710 ",-0.06%,4.30%,-17.26%,
vechain,VEN,"$153,590,228 ",$0.55 ,"277,162,633 *","$10,245,100 ",-1.80%,16.77%,17.23%,
gnosis,GNO,"$151,681,194 ",$137.32 ,"1,104,590 *","$2,010,960 ",7.48%,24.20%,11.99%,
raiblocks,XRB,"$150,034,910 ",$1.13 ,"133,248,290 *","$2,921,960 ",1.06%,15.30%,207.35%,
pura,PURA,"$148,086,591 ",$0.86 ,"172,024,086","$589,515 ",-1.93%,-1.92%,41.67%,
raiden-network-token,RDN,"$145,874,228 ",$2.91 ,"50,148,936 *","$8,334,790 ",2.07%,-1.42%,-9.37%,
aeternity,AE,"$142,694,280 ",$0.61 ,"233,020,472 *","$1,073,820 ",0.76%,1.66%,4.41%,
iconomi,ICN,"$142,298,136 ",$1.43 ,"99,788,314 *","$2,370,160 ",-0.14%,3.08%,-7.92%,
funfair,FUN,"$138,826,372 ",$0.03 ,"4,249,873,622 *","$1,940,920 ",-1.00%,11.25%,9.47%,
gamecredits,GAME,"$135,551,034 ",$2.11 ,"64,355,352","$3,022,330 ",-0.40%,-2.93%,-3.52%,
digibyte,DGB,"$134,719,918 ",$0.01 ,"9,535,330,542","$5,059,640 ",-1.37%,4.72%,-17.47%,
verge,XVG,"$127,736,513 ",$0.01 ,"14,370,921,772","$4,127,390 ",-1.99%,8.35%,14.29%,
nav-coin,NAV,"$122,074,127 ",$1.96 ,"62,152,388 *","$23,794,700 ",-7.23%,25.07%,45.93%,
nexus,NXS,"$120,870,742 ",$2.23 ,"54,320,267","$1,259,890 ",-1.05%,-0.60%,36.37%,
request-network,REQ,"$120,606,440 ",$0.19 ,"640,739,733 *","$24,468,600 ",1.32%,19.79%,114.68%,
0x,ZRX,"$120,437,000 ",$0.24 ,"500,000,000 *","$3,211,070 ",-0.28%,6.19%,9.25%,
bancor,BNT,"$113,373,860 ",$2.78 ,"40,772,871 *","$4,266,490 ",0.13%,5.83%,6.99%,
blocknet,BLOCK,"$112,803,878 ",$22.92 ,"4,922,688 *","$326,068 ",0.93%,-0.29%,-6.66%,
civic,CVC,"$107,172,228 ",$0.31 ,"342,700,000 *","$4,031,660 ",-0.48%,5.23%,-16.29%,
aion,AION,"$106,730,269 ",$2.60 ,"41,064,476 *","$113,836 ",-0.16%,12.74%,72.11%,
ethos,ETHOS,"$102,944,463 ",$1.37 ,"75,166,633 *","$4,435,860 ",2.07%,4.99%,-11.30%,
edgeless,EDG,"$102,342,899 ",$1.25 ,"82,046,288 *","$2,897,420 ",0.26%,10.21%,-8.62%,
metal,MTL,"$101,755,612 ",$5.27 ,"19,300,994 *","$12,036,800 ",-2.05%,5.52%,-19.93%,
dragonchain,DRGN,"$99,390,000 ",$0.42 ,"238,421,940 *","$555,682 ",13.73%,-1.05%,62.84%,
storj,STORJ,"$97,509,027 ",$0.93 ,"105,413,683 *","$9,125,390 ",0.85%,11.38%,-12.96%,
skycoin,SKY,"$95,372,351 ",$15.11 ,"6,311,995 *","$264,217 ",-0.05%,3.32%,3.16%,
chainlink,LINK,"$94,725,050 ",$0.27 ,"350,000,000 *","$7,163,860 ",-0.69%,6.81%,20.25%,
streamr-datacoin,DATA,"$93,756,783 ",$0.14 ,"677,154,514 *","$4,037,980 ",2.76%,4.36%,34.06%,
gxshares,GXS,"$93,585,392 ",$2.31 ,"40,510,000 *","$5,141,180 ",1.21%,2.59%,-14.25%,
peercoin,PPC,"$93,323,845 ",$3.81 ,"24,505,639","$3,006,310 ",7.01%,23.47%,10.33%,
attention-token-of-media,ATM,"$90,783,734 ",$0.02 ,"3,845,253,092 *","$111,092 ",1.67%,32.53%,36.12%,
revain,R,"$90,190,885 ",$0.49 ,"184,450,000 *","$905,058 ",5.13%,12.99%,92.86%,
metaverse,ETP,"$89,728,995 ",$2.45 ,"36,619,446","$4,793,630 ",-0.69%,8.35%,-13.20%,
minexcoin,MNX,"$87,843,600 ",$29.28 ,"3,000,000","$201,254 ",-2.94%,1.87%,-36.15%,
singulardtv,SNGLS,"$85,969,800 ",$0.14 ,"600,000,000 *","$7,002,390 ",-0.77%,23.05%,-12.99%,
bitbay,BAY,"$85,107,376 ",$0.08 ,"1,008,178,166 *","$9,310,030 ",-0.54%,17.37%,11.00%,
jinn,JINN,"$84,734,258 ","$1,443.44 ","58,703 *","$14,434 ",-0.93%,10.20%,158.07%,
pepe-cash,PEPECASH,"$83,811,268 ",$0.12 ,"701,884,009 *","$412,005 ",1.71%,25.02%,234.03%,
