Ticker,Exchange,Name
TRX,Binance,tron
ETH,Binance,ethereum
BNB,Binance,binance-coin
XRP,Binance,ripple
APPC,Binance,appcoins
ARN,Binance,aeron
LTC,Binance,litecoin
BCC,Binance,bitconnect
XVG,Binance,verge
XLM,Binance,stellar
ADA,Binance,cardano
VEN,Binance,vechain
QTUM,Binance,qtum
ELF,Binance,aelf
BCPT,Binance,blockmason
ICX,Binance,icon
POE,Binance,poet
LUN,Binance,lunyr
REQ,Binance,request-network
NEO,Binance,neo
EOS,Binance,eos
HSR,Binance,hshare
LSK,Binance,lisk
NEBL,Binance,neblio
DNT,Binance,district0x
BRD,Binance,bread
WTC,Binance,walton
MTL,Binance,metal
LRC,Binance,loopring
AST,Binance,airswap
SUB,Binance,substratum
ENG,Binance,enigma-project
AMB,Binance,amber
CND,Binance,cindicator
LEND,Binance,ethlend
TNB,Binance,time-new-bank
ETC,Binance,ethereum-classic
FUN,Binance,funfair
POWR,Binance,power-ledger
TRIG,Binance,triggers
QSP,Binance,quantstamp
OMG,Binance,omisego
GVT,Binance,genesis-vision
BTS,Binance,bitshares
GTO,Binance,gifto
MCO,Binance,monaco
XMR,Binance,monero
ENJ,Binance,enjin-coin
NULS,Binance,nuls
AION,Binance,aion
DASH,Binance,dash
ZRX,Binance,0x
BAT,Binance,basic-attention-token
EVX,Binance,everex
STORJ,Binance,storj
CTR,Binance,centra
CMT,Binance,cybermiles
SALT,Binance,salt
SNT,Binance,status
GAS,Binance,gas
GXS,Binance,gxshares
LINK,Binance,chainlink
WABI,Binance,wabi
CDT,Binance,coindash
MANA,Binance,decentraland
FUEL,Binance,etherparty
SNM,Binance,sonm
BTG,Binance,bitcoin-gold
ZEC,Binance,zcash
MDA,Binance,moeda-loyalty-points
KNC,Binance,kyber-network
ARK,Binance,ark
STRAT,Binance,stratis
KMD,Binance,komodo
WAVES,Binance,waves
RCN,Binance,ripio-credit-network
OAX,Binance,oax
ADX,Binance,adx-net
VIB,Binance,viberate
MTH,Binance,monetha
XZC,Binance,zcoin
TNT,Binance,tierion
RDN,Binance,raiden-network-token
DLT,Binance,agrello-delta
SNGLS,Binance,singulardtv
EDO,Binance,eidoo
MOD,Binance,modum
DGD,Binance,digixdao
NAV,Binance,nav-coin
ICN,Binance,iconomi
WINGS,Binance,wings
BNT,Binance,bancor
PPT,Binance,populous
BCD,Binance,bitcoin-diamond
