,bitcoin,Log Returns,AVG,Squared,RMS 52,P = (((avg / rms) – (1 / sqrt (n))) + 1) / 2
4/29/2013,144.54,,,,,
5/6/2013,112.3,-0.109608294,,,,
5/13/2013,117.98,0.021428636,,,,
5/20/2013,122,0.014551439,,,,
5/27/2013,129.75,0.026747536,,,,
6/3/2013,122.22,-0.025965087,,,,
6/10/2013,106.35,-0.060404785,,,,
6/17/2013,101.7,-0.019416541,,,,
6/24/2013,102.74,0.004418608,,,,
7/1/2013,88.05,-0.067010201,,,,
7/8/2013,76.52,-0.060954399,,,,
7/15/2013,98.4,0.109220137,,,,
7/22/2013,91.61,-0.031052215,,,,
7/29/2013,101.2,0.043237629,,,,
8/5/2013,106.22,0.021025785,,,,
8/12/2013,106.64,0.001713839,,,,
8/19/2013,119,0.047626825,,,,
8/26/2013,120.06,0.003851378,,,,
9/2/2013,135.85,0.053661304,,,,
9/9/2013,127.11,-0.028879924,,,,
9/16/2013,131.72,0.015472003,,,,
9/23/2013,125.95,-0.01945355,,,,
9/30/2013,133,0.023653469,,,,
10/7/2013,126.94,-0.020253147,,,,
10/14/2013,140.52,0.044139647,,,,
10/21/2013,182.21,0.112834067,,,,
10/28/2013,198.55,0.037297683,,,,
11/4/2013,229.1,0.062155198,,,,
11/11/2013,342.44,0.174559399,,,,
11/18/2013,703.56,0.312716652,,,,
11/25/2013,799.11,0.055305425,,,,
12/2/2013,1043.33,0.11581513,,,,
12/9/2013,893.19,-0.067477843,,,,
12/16/2013,705.97,-0.102157606,,,,
12/23/2013,673.41,-0.020506685,,,,
12/30/2013,756.13,0.050316908,,,,
1/6/2014,953.29,0.100628568,,,,
1/13/2014,841.2,-0.054325773,,,,
1/20/2014,870.2,0.014719815,,,,
1/27/2014,771.39,-0.052345074,,,,
2/3/2014,823.83,0.028563598,,,,
2/10/2014,681.03,-0.082671359,,,,
2/17/2014,626.27,-0.036404635,,,,
2/24/2014,546.32,-0.059314509,,,,
3/3/2014,667.76,0.087173301,,,,
3/10/2014,627.79,-0.026806007,,,,
3/17/2014,622.37,-0.003765743,,,,
3/24/2014,583.41,-0.028074781,,,,
3/31/2014,457,-0.106057669,,,,
4/7/2014,449.42,-0.007263805,,,,
4/14/2014,458.79,0.008961548,,,,
4/21/2014,495.77,0.0336663,,,,
4/28/2014,440.29,-0.051541421,0.009302899,8.65439E-05,,
5/5/2014,433.48,-0.006769757,0.011280564,0.000127251,,
5/12/2014,441.46,0.007922294,0.011020826,0.000121459,,
5/19/2014,446.18,0.00461874,0.010829813,0.000117285,,
5/26/2014,583.42,0.116471214,0.012555268,0.000157635,,
6/2/2014,660.62,0.053970405,0.014092489,0.000198598,,
6/9/2014,649.16,-0.007599966,0.015107966,0.000228251,,
6/16/2014,592.19,-0.039890682,0.014714233,0.000216509,,
6/23/2014,593.98,0.001310753,0.014654467,0.000214753,,
6/30/2014,639.8,0.032272414,0.016563748,0.000274358,,
7/7/2014,624.09,-0.010797012,0.017528313,0.000307242,,
7/14/2014,619.32,-0.003332119,0.015363846,0.000236048,,
7/21/2014,622.21,0.002021882,0.015999887,0.000255996,,
7/28/2014,585.69,-0.026269178,0.014663217,0.00021501,,
8/4/2014,588.78,0.00228524,0.014302822,0.000204571,,
8/11/2014,576.37,-0.009251681,0.014091947,0.000198583,,
8/18/2014,461.46,-0.096567306,0.011318983,0.000128119,,
8/25/2014,502.5,0.037002004,0.011956495,0.000142958,,
9/1/2014,474.88,-0.024552187,0.010452389,0.000109252,,
9/8/2014,474.6,-0.000256145,0.011002846,0.000121063,,
9/15/2014,475.37,0.000704037,0.010718847,0.000114894,,
9/22/2014,402.15,-0.072643697,0.00969596,9.40116E-05,,
9/29/2014,375.47,-0.02981283,0.008667762,7.51301E-05,,
