,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
0x,491680007.0,0.00016423,0x,4.87,26.72,108.76,,1154990755.0,ZRX,1000000000.0,2.34907,41981800.0,0,0,,,,,Binance,
10mtoken,,0.00000198,10mtoken,22.5,0.56,1206.56,,,10MT,10000000.0,0.0283181,1140.45,38,"January 11, 2018, 08:05:17 PM",,,,,,
1337coin,24609209687.0,0.00000006,1337coin,4.27,5.78,48.58,,21004502.0,1337,27411562802.0,0.000853522,149495.0,0,0,POS,POS,Cryptopia,,,
2give,519350106.0,0.00000195,2give,0.15,14.54,7.52,,14467276.0,2GIVE,519350106.0,0.0278565,262281.0,0,0,,,,,,Bittrex
300-token,300.0,0.111,300-token,-20.63,173.06,168.59,300.0,476241.0,300,300.0,1587.47,154002.0,24,"January 12, 2018, 11:29:50 PM",None,Asset,Cryptopia,,,
42-coin,42.0,3.6805,42-coin,2.03,14.43,0.81,,2218014.0,42,42.0,52809.9,12834.5,55,"January 12, 2018, 10:40:56 PM",Scrypt,Hybrid,Cryptopia,,,
808coin,3978187849.0,0.00000003,808coin,1.29,-75.78,36.16,,1706098.0,808,3978187849.0,0.000428863,3919.24,99,"January 12, 2018, 11:20:45 PM",SHA256,Hybrid,Cryptopia,,,
8bit,1467841.0,0.00008797,8bit,0.97,28.09,37.11,,1845913.0,8BIT,1467841.0,1.25757,6124.36,294,"January 12, 2018, 08:37:26 PM",POS,POS,Cryptopia,,,
9coin,,0.00000023,9coin,,,-8.27,,,9COIN,350053400.0,0.00338553,,0,0,,,,,,
abjcoin,8265187.0,0.00004163,abjcoin,2.31,53.82,466.47,,4934573.0,ABJ,9265207.0,0.597031,25924.7,66,"January 11, 2018, 11:57:29 AM",,,,,,
abncoin,67700.0,0.00000177,abncoin,0.14,7.68,18.95,,1713.0,ABN,4734367.0,0.0253056,1708.22,0,0,,,,,,
accelerator-network,246205.0,0.00107685,accelerator-network,-3.04,7.57,6.06,,3802433.0,ACC,316923.0,15.4442,5342.41,0,0,Scrypt,POW,Cryptopia,,,
ace,,0.00008254,ace,2.2,64.67,56.45,,,ACE,14476036.0,1.1796,4929550.0,78,"January 12, 2018, 10:47:41 PM",,,,,,
aces,,0.00000058,aces,-4.67,-5.28,864.25,,,ACES,,0.00829248,432297.0,23,"January 12, 2018, 11:10:47 PM",,,,,,
achain,300000000.0,0.00007298,achain,1.47,-10.5,48.42,1000000000.0,313179000.0,ACT,1000000000.0,1.04393,52139100.0,0,0,,,,Kucoin,,
acoin,1220085.0,0.00002854,acoin,0.29,9.15,54.61,,497410.0,ACOIN,1220085.0,0.407685,6917.84,31,<b>Today</b> at 02:08:37 AM,SHA256,POW,Cryptopia,,,
adcoin,5436249.0,0.00002630,adcoin,-2.51,0.74,136.41,,2051108.0,ACC,70428732.0,0.377302,139416.0,0,0,,,,,,
adelphoi,23472224.0,0.00003122,adelphoi,1.64,149.07,92.44,,10520744.0,ADL,100000000.0,0.448221,9219.96,10,"January 12, 2018, 10:50:41 PM",,,,,,
adshares,19379103.0,0.00010596,adshares,-10.85,70.72,117.85,,29350039.0,ADST,19379103.0,1.51452,983918.0,28,<b>Today</b> at 03:02:41 AM,None,Asset,Cryptopia,,,
adtoken,600000000.0,0.00001055,adtoken,0.13,11.61,1.03,1000000000.0,90350400.0,ADT,1000000000.0,0.150584,1992020.0,0,0,,,,,,Bittrex
