CirculatingSupply,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio,bctpages,lastentry,Time,Platform
"76,588,854.90","4,634.28","69,886,640.79",blackcoin,6.05E-05,0.91249,143,"76,588,854.90",249.559,"3,763,440.00",5.39%,100.00%,1705,4-Jan-18,4:41:51 PM,
"121,645,500.95","3,809.91","57,454,873.13",monetaryunit,3.13E-05,0.47231,153,"121,645,500.95",441.622,"6,659,820.00",11.59%,100.00%,198,4-Jan-18,6:37:56 PM,
"903,892.67","2,613.88","39,418,205.24",solaris,0.00248092,37.4131,175,"1,053,593.67",75.303,"1,135,590.00",2.88%,85.79%,236,4-Jan-18,7:23:39 AM,
"27,779,412.97","2,447.52","36,909,394.84",stealthcoin,8.81E-05,1.32866,178,"27,779,412.97",110.709,"1,669,530.00",4.52%,100.00%,165,4-Jan-18,8:16:32 AM,
"542,284,908.00","2,311.02","34,850,969.95",musicoin,4.26E-06,0.06427,181,"542,284,908.00",183.87,"2,772,820.00",7.96%,100.00%,135,4-Jan-18,7:14:43 PM,
"643,012,000.00","2,261.23","34,100,251.62",voisecom,2.74E-06,0.0413,261,"825,578,000.00",113.662,"1,714,070.00",5.03%,77.89%,106,4-Jan-18,10:03:37 AM,ETH
"109,212,011.15","2,107.62","31,783,697.35",suncontract,0.000017176,0.25902,266,"122,707,502.69",151.287,"2,281,460.00",7.18%,89.00%,121,4-Jan-18,9:44:42 PM,ETH
"6,731,528.00","1,787.44","26,955,319.69",qvolta,0.000177032,2.66971,275,"10,096,722.00",152.401,"2,298,260.00",8.53%,66.67%,22,4-Jan-18,2:12:01 AM,ETH
"710,112.81","1,731.97","26,118,588.28",chronobank,0.002439,36.7809,278,"710,112.81",42.19,"636,243.00",2.44%,100.00%,390,4-Jan-18,3:34:50 PM,ETH
"17,873,502.44","1,699.39","25,627,428.52",mywish,8.58E-05,1.29406,280,"19,803,895.12",40.333,"608,233.00",2.37%,90.25%,82,4-Jan-18,5:58:03 AM,ETH
"377,330,849.49","1,674.96","25,259,050.90",pinkcoin,4.29E-06,0.06471,192,"390,330,849.49",78.224,"1,179,650.00",4.67%,96.67%,11,4-Jan-18,10:06:45 PM,
"17,740,125.00","1,617.06","24,385,930.63",bitsend,9.12E-05,1.37462,197,"17,740,125.00",63.409,"956,228.00",3.92%,100.00%,199,4-Jan-18,1:10:55 AM,
"23,187,059.29","1,560.61","23,534,633.31",bitcrystals,6.73E-05,1.01499,286,"23,187,059.29",59.514,"897,486.00",3.81%,100.00%,231,3-Jan-18,12:32:58 PM,XCP
"24,947,260,808.00","1,502.38","22,656,503.53",mintcoin,6.02E-08,0.00091,205,"24,947,260,808.00",53.496,"806,734.00",3.56%,100.00%,1022,4-Jan-18,7:44:12 AM,
"1,717,449.47","1,398.33","21,087,432.17",bulwark,0.000687144,10.3624,211,"2,034,995.00",43.968,"663,059.00",3.14%,84.40%,50,4-Jan-18,3:14:47 AM,
"6,274,478.00","1,294.88","19,527,179.45",transfercoin,0.000206372,3.11216,218,"6,274,478.00",73.194,"1,103,780.00",5.65%,100.00%,149,4-Jan-18,4:13:32 AM,
"18,850,552.30","1,203.04","18,142,261.09",memetic,6.26E-05,0.94403,226,"19,217,804.75",267.379,"4,032,170.00",22.23%,98.09%,127,4-Jan-18,9:38:40 PM,
"49,573,003.50","1,172.12","17,675,996.23",sportyfi,0.000016585,0.25011,303,"70,673,453.99",23.826,"359,301.00",2.03%,70.14%,47,3-Jan-18,6:18:26 PM,ETH
"1,807,931.28","1,157.09","17,449,284.92",dubaicoin-dbix,0.000640006,9.65152,229,"1,807,931.28",24.309,"366,594.00",2.10%,100.00%,337,4-Jan-18,12:31:21 AM,
"995,074.29","1,086.07","16,378,304.68",vivo,0.00059836,9.02349,233,"1,815,074.29",29.14,"439,442.00",2.68%,54.82%,85,4-Jan-18,7:49:54 AM,
"612,969.75","1,081.87","16,314,922.38",crowdcoin,0.00112347,16.9423,234,"962,969.75",28.815,"434,547.00",2.66%,63.65%,33,4-Jan-18,11:33:30 PM,
"2,242,500.00","1,076.56","16,234,982.40",hush,0.000480073,7.23968,236,"2,242,500.00",24.135,"363,965.00",2.24%,100.00%,47,4-Jan-18,8:57:47 PM,
"16,998,400.00",959.24,"14,465,621.40",syndicate,5.64E-05,0.851,247,"16,998,400.00",149.908,"2,260,670.00",15.63%,100.00%,19,4-Jan-18,10:13:09 AM,
"16,511,828.17",917.18,"13,831,413.56",creditbit,5.55E-05,0.83767,313,"16,511,828.17",40.636,"612,799.00",4.43%,100.00%,172,3-Jan-18,2:21:49 PM,ETH
"40,407,125.00",848.74,"12,799,280.10",riecoin,2.10E-05,0.31676,257,"40,407,125.00",17.386,"262,191.00",2.05%,100.00%,266,4-Jan-18,5:57:12 AM,
"8,585,907.58",800.53,"12,072,323.81",magnet,0.0000906,1.36628,266,"8,835,907.58",16.479,"248,502.00",2.06%,97.17%,47,4-Jan-18,7:01:04 AM,
"7,741,814.25",786.14,"11,855,349.84",magi,0.000101545,1.53134,270,"7,741,814.25",81.151,"1,223,790.00",10.32%,100.00%,1097,4-Jan-18,7:42:01 AM,
"31,440,406.50",783.85,"11,820,731.41",social-send,2.33E-05,0.35149,271,"33,630,349.13",38.362,"578,517.00",4.89%,93.49%,20,4-Jan-18,6:33:31 AM,
"15,746,668.29",698.01,"10,526,312.77",copico,3.04E-05,0.45885,279,"22,940,540.23",20.367,"307,136.00",2.92%,68.64%,17,4-Jan-18,1:46:31 AM,
"2,104,885.00",619.89,"9,348,110.02",denarius-dnr,0.000294499,4.44115,287,"2,104,885.00",15.97,"240,834.00",2.58%,100.00%,140,4-Jan-18,12:00:07 AM,
"10,815,965.82",610.13,"9,200,969.07",vtorrent,0.00005641,0.85068,290,"10,815,965.82",31.54,"475,637.00",5.17%,100.00%,258,4-Jan-18,3:12:11 AM,
"94,119,503.41",585.13,"8,823,907.73",interstellar-holdings,4.38E-06,0.06602,295,"133,650,616.40",12.055,"181,796.00",2.06%,70.42%,64,4-Jan-18,4:48:09 AM,
"2,319,215,395.99",582.45,"8,783,564.47",noblecoin,2.51E-07,0.00379,296,"2,319,215,395.99",21.676,"326,878.00",3.72%,100.00%,598,4-Jan-18,8:04:57 AM,
"4,069,196.95",563.79,"8,502,139.41",bitswift,0.00013855,2.08939,300,"4,069,196.95",11.654,"175,746.00",2.07%,100.00%,17,4-Jan-18,10:19:14 AM,
"14,529,350.00",463.6,"6,991,251.25",linx,2.99E-05,0.4502,310,"15,529,350.00",17.225,"259,757.00",3.72%,93.56%,38,4-Jan-18,4:54:11 AM,
"3,583,580.00",263.27,"3,970,248.28",ellaism,7.35E-05,1.1079,341,"3,583,580.00",7.29,"109,929.00",2.77%,100.00%,70,3-Jan-18,10:11:37 PM,
"4,523,098.87",202.7,"3,056,861.71",crystal-clear,2.93E-05,0.44148,375,"6,924,060.00",5.517,"83,202.90",2.72%,65.32%,32,4-Jan-18,4:54:23 PM,ETH
"2,149,688.37",180.42,"2,720,817.58",xios,8.39E-05,1.26568,369,"2,149,688.37",20.777,"313,317.00",11.52%,100.00%,98,4-Jan-18,7:40:55 AM,
"10,207,972.87",159.97,"2,412,378.77",leviarcoin,1.57E-05,0.23632,379,"10,207,972.87",3.461,"52,199.50",2.16%,100.00%,132,4-Jan-18,10:10:53 PM,
"446,302.59",138.25,"2,084,924.88",zero,0.000309777,4.67155,394,"446,302.59",22.15,"334,037.00",16.02%,100.00%,34,4-Jan-18,4:06:02 AM,
"40,592,900.00",120.25,"1,813,419.65",senderon,2.64E-06,0.03975,387,"45,625,900.00",4.457,"67,217.40",3.71%,88.97%,72,4-Jan-18,10:25:39 PM,ETH
"3,268,300.64",111.82,"1,686,269.20",billionaire-token,3.37E-05,0.50863,390,"3,315,296.50",7.183,"108,319.00",6.42%,98.58%,78,4-Jan-18,7:42:38 AM,ETH
"5,555,381.39",94.98,"1,432,350.41",eryllium,0.000006106,0.09208,425,"15,555,381.39",4.696,"70,815.00",4.94%,35.71%,16,4-Jan-18,3:41:26 AM,
"64,654,691.93",68.05,"1,026,174.10",droxne,7.98E-07,0.01204,463,"85,221,912.93",1.946,"29,340.70",2.86%,75.87%,70,4-Jan-18,5:01:45 PM,
"1,542,030,750.00","2,453.71","37,002,878.28",myriad,1.59E-06,0.024,177,"1,542,030,750.00",99.61,"1,502,160.00",4.06%,100.00%,406,4-Jan-18,12:15:20 AM,
"3,295,367.32","2,515.76","37,938,663.83",internet-of-people,0.00073012,11.0105,176,"3,445,680.38",318.427,"4,802,000.00",12.66%,95.64%,12,4-Jan-18,6:14:31 AM,
"30,076,704.44","2,644.40","39,878,702.41",elixir,0.000087922,1.3259,253,"30,076,704.44",99.557,"1,501,360.00",3.76%,100.00%,134,4-Jan-18,7:59:47 AM,ETH
"103,579,978.20","2,860.60","43,138,782.16",global-currency-reserve,2.76E-05,0.41648,172,"103,579,978.20",287.175,"4,330,710.00",10.04%,100.00%,7,4-Jan-18,12:02:42 PM,
"3,423,558.83","2,915.71","43,970,135.49",radium,0.000851661,12.8434,169,"3,423,558.83",124.818,"1,882,300.00",4.28%,100.00%,144,4-Jan-18,4:03:42 AM,
"3,641,791.95","2,955.97","44,576,990.24",neoscoin,0.000811681,12.2404,168,"3,641,791.95",122.036,"1,840,350.00",4.13%,100.00%,52,4-Jan-18,7:51:38 AM,
"73,582,510.59","3,423.39","51,626,004.51",okcash,4.65E-05,0.70161,159,"73,582,510.59",498.603,"7,519,110.00",14.56%,100.00%,144,4-Jan-18,2:23:42 AM,
