AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,Date,Time,,,,
588991942,0.00076864,eos,0.09,11.85,41.92,1000000000,7302852193,EOS,900000000,12.3989,910396000,70,1/7/2018,12:59:26 AM,,,,
160040176,0.00000698,vsync-vsx,16.78,-5.09,188.67,,18069176,VSX,167813477,0.112904,113306,77,1/7/2018,12:57:27 AM,,,,
4990659,0.00005596,bata,4.02,-14.91,176.87,10000000,4504184,BTA,4990659,0.902523,68341.4,10,1/7/2018,12:54:43 AM,,,,
1133007,0.00048335,tokes,15.19,32.52,14.27,,8834452,TKS,50000000,7.79735,665735,58,1/7/2018,12:51:06 PM,,,,
,0.00000005,royalties,,-1.1,1015.39,,,XRY,18446748239,0.00090445,,15,1/7/2018,12:45:25 PM,,,,
183000000,0.00004232,wagerr,3.03,1.45,29.15,200000000,125030358,WGR,198360471,0.683226,713688,173,1/7/2018,12:39:30 PM,,,,
834262000,0.00006836,golem-network-tokens,4,6.28,34.18,,923027477,GNT,1000000000,1.1064,42091400,131,1/7/2018,12:38:41 PM,,,,
82046276,0.00016249,edgeless,1.53,6.7,15.83,,215788270,EDG,132046997,2.63008,10969600,314,1/7/2018,12:37:18 PM,,,,
,0.00002095,xylo,,,-11.97,,,XYLO,164589,0.337133,,32,1/7/2018,12:35:58 PM,,,,
37109887,0.0000678,change,-0.54,14.68,81.01,,40785250,CAG,79184116,1.09904,1101990,53,1/7/2018,12:32:21 PM,,,,
640788433,0.00005903,request-network,0.33,-4.17,72.86,,612228493,REQ,999999999,0.95543,25875200,17,1/7/2018,12:25:03 AM,,,,
5095983,0.00009912,karbowanec,0.89,-9.22,-0.94,,8148630,KRB,5095983,1.59903,155799,69,1/7/2018,12:24:15 AM,,,,
5465595,0.00001783,kushcoin,2.3,41.68,28.83,,1571167,KUSH,5465595,0.287465,5043.7,10,1/7/2018,12:21:23 AM,,,,
5235799,0.00001755,bitcoinfast,-1.07,25.79,83.29,,1481679,BCF,8159219,0.28299,40820.7,13,1/7/2018,12:18:39 AM,,,,
,0.0000025,granitecoin,3.45,6.51,184.12,,,GRN,,0.0403262,1714.21,29,1/7/2018,12:17:05 PM,,,,
54032769,0.00000111,chesscoin,4.67,-10.99,76.64,,966657,CHESS,54032769,0.0178902,2388.77,97,1/7/2018,12:16:23 AM,,,,
5572556,0.00000679,eryllium,16.53,27.52,425.75,,611371,ERY,15572556,0.109711,35471.8,17,1/7/2018,12:15:37 PM,,,,
4566608,0.00014415,footy-cash,9.79,50.46,180.1,,10619280,XFT,4566608,2.32542,463696,15,1/7/2018,12:09:52 PM,,,,
