,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
ripple,21296829.1138,3.1597717673e+11,ripple,0.000212983,3.15999,1,99993093880.0,392678.0,5826100000.0,38739144847.0
bitcoin,16780087.0,2.52296998088e+11,bitcoin,1.0,15035.5,2,16780087.0,1109900.0,16467500000.0,16780087.0
stellar,6291703.70915,93348964355.8,stellar,6.0748e-05,0.901308,3,1.03570548975e+11,95692.0,1419770000.0,17877208352.2
ethereum,6127175.65212,90907867379.6,ethereum,0.0633299,939.615,4,96750123.5928,319410.0,4739030000.0,96750123.5928
solarcoin,5418945.91347,80400017032.8,solarcoin,5.5276e-05,0.820121,5,98034335217.3,208.593,3094860.0,38461285.9156
bitcoin-cash,2988217.34325,44335513755.0,bitcoin-cash,0.176905,2624.7,7,16891650.0,241369.0,3581150000.0,16891650.0
cardano,2273880.76449,33737132873.7,cardano,7.30858e-05,1.08436,8,31112483745.0,42691.8,633412000.0,25927070538.0
nem,914858.999898,13573619998.5,nem,0.000101651,1.50818,9,8999999999.0,13077.9,194035000.0,8999999999.0
litecoin,902026.13374,13383244782.0,litecoin,0.0165206,245.114,10,54600083.1531,163540.0,2426410000.0,54600083.1531
iota,762822.629457,11317858178.1,iota,0.000274443,4.07186,11,2779530283.0,13902.2,206264000.0,2779530283.0
neo,648522.0,9622010000.0,neo,0.00648522,96.2201,12,100000000.0,17816.1,264334000.0,65000000.0
dash,607560.539495,9014269141.53,dash,0.0779284,1156.21,13,7796394.37605,13428.0,199229000.0,7796394.37605
monero,422773.139802,6272608347.42,monero,0.0271722,403.149,15,15559032.3861,11807.2,175181000.0,15559032.3861
qtum,394523.02108,5853469843.52,qtum,0.00393417,58.3706,16,100281132.0,43512.2,645583000.0,73781132.0
bitcoin-gold,307553.209348,4563122288.86,bitcoin-gold,0.0182598,270.918,18,16843186.089,7155.39,106163000.0,16743186.089
bitconnect,273109.213844,4052073524.73,bitconnect,0.0289382,429.351,19,9437671.10063,1830.73,27162200.0,6159328.43604
raiblocks,243633.836977,3614746265.15,raiblocks,0.00182842,27.1279,20,133248289.221,4500.96,66780000.0,133248289.221
ethereum-classic,220820.822735,3276280579.62,ethereum-classic,0.00223384,33.1431,21,98852569.0,44780.0,664394000.0,98852569.0
vechain,181458.984025,2692271156.45,vechain,0.000209256,3.10469,22,867162633.45,13763.5,204206000.0,277162633.45
lisk,162703.961274,2414016261.02,lisk,0.00139514,20.6995,23,116621960.0,5079.2,75359300.0,116621960.0
e-coin,152838.993783,2267643640.94,e-coin,0.000716879,10.6362,24,213200545.396,0.258868,3840.78,4911653.39559
bitshares,152040.706786,2255801268.53,bitshares,5.83298e-05,0.865429,25,2606570000.0,5957.72,88393700.0,2606570000.0
verge,144747.10292,2147582401.61,verge,1.00331e-05,0.148859,26,14426957064.1,25018.3,371193000.0,14426957064.1
steem,143378.209698,2127280286.64,steem,0.000544789,8.08295,27,263181176.011,6199.25,91977100.0,246207082.011
zcash,114729.591614,1702221227.5,zcash,0.0385258,571.6,29,2977993.75,10054.8,149181000.0,2977993.75
stratis,103122.396773,1530014847.68,stratis,0.00104495,15.5038,32,98686441.239,3269.94,48515500.0,98686441.239
firstcoin,102270.52,1517373000.0,firstcoin,0.000929732,13.7943,33,110000000.0,24.6937,366376.0,1869936.2
kucoin-shares,98120.0969428,1455790909.72,kucoin-shares,0.000541971,8.04113,34,181043076.0,1082.89,16066600.0,91043076.0001
waves,85422.1,1267390000.0,waves,0.000854221,12.6739,35,100000000.0,3517.38,52186800.0,100000000.0
skycoin,80947.25,1201000000.0,skycoin,0.00323789,48.04,36,25000000.0,102.525,1521150.0,6833835.55
