CMCname,Symbol,Cryptopia,Kucoin,Binance,Bittrex
substratum,SUB,,1,1,
salt,SALT,,,1,1
digibyte,DGB,1,1,,1
gamecredits,GAME,1,,,1
clearpoll,POLL,1,1,,
qtum,QTUM,1,1,1,1
oyster-pearl,PRL,1,1,,
decision-token,HST,1,1,,
lunyr,LUN,,,1,1
bitcoin-cash,BCH,1,1,,
ark,ARK,1,,1,1
bitsend,BSD,1,,,1
bitbay,BAY,1,,,1
verge,XVG,1,,1,1
funfair,FUN,,,1,1
bitconnect,BCC,,,1,1
centra,CTR,1,,1,
walton,WTC,,1,1,
monero,XMR,1,,1,1
stellar,XLM,,,1,1
sonm,SNM,,1,1,
monaco,MCO,,,1,1
nav-coin,NAV,1,,1,1
clams,CLAM,1,,,1
solaris,XLR,1,1,,
populous,PPT,,1,1,
tenx,PAY,1,1,,1
komodo,KMD,1,,1,1
byteball,GBYTE,1,,,1
viberate,VIB,,,1,1
ethereum,ETH,1,1,1,1
magi,XMG,1,,,1
waves,WAVES,,,1,1
musicoin,MUSIC,1,,,1
wings,WINGS,,,1,1
deeponion,ONION,1,1,,
goldcoin,GLD,1,,,1
myriad,XMY,1,,,1
triggers,TRIG,,,1,1
litecoin,LTC,1,1,1,1
bancor,BNT,,,1,1
ubiq,UBQ,1,,,1
neblio,NEBL,1,1,1,
geocoin,GEO,1,,,1
evergreencoin,EGC,1,,,1
nem,XEM,1,,,1
potcoin,POT,1,,,1
lisk,LSK,,,1,1
influxcoin,INFX,1,,,1
district0x,DNT,,,1,1
e-gulden,EFL,1,,,1
civic,CVC,,1,,1
blackcoin,BLK,1,,,1
synereo,AMP,1,,,1
monetha,MTH,,1,1,
quantstamp,QSP,,1,1,
rubycoin,RBY,1,,,1
unikoin-gold,UKG,,1,,1
transfercoin,TX,1,,,1
storj,STORJ,,,1,1
ethlend,LEND,,1,1,
okcash,OK,1,,,1
decentraland,MANA,,,1,1
auroracoin,AUR,1,,,1
pivx,PIVX,1,,,1
bitbean,BITB,1,,,1
revain,R,1,1,,
library-credit,LBC,1,,,1
emercoin,EMC,1,,,1
einsteinium,EMC2,1,,,1
groestlcoin,GRS,1,,,1
zcoin,XZC,1,,1,1
publica,PBL,1,1,,
genesis-vision,GVT,,1,1,
artbyte,ABY,1,,,1
dash,DASH,1,1,1,1
power-ledger,POWR,1,1,1,1
cloakcoin,CLOAK,1,,,1
bitcoindark,BTCD,1,,,1
feathercoin,FTC,1,,,1
pinkcoin,PINK,1,,,1
etherparty,FUEL,1,,1,
dopecoin,DOPE,1,,,1
dogecoin,DOGE,1,,,1
bitcoin-gold,BTG,1,1,1,1
zclassic,ZCL,1,,,1
cannabiscoin,CANN,1,,,1
syndicate,SYNX,1,,,1
nexus,NXS,1,,,1
stratis,STRAT,1,,1,1
ethereum-classic,ETC,1,1,1,1
expanse,EXP,1,,,1
peercoin,PPC,1,,,1
zencash,ZEN,1,,,1
enjin-coin,ENJ,1,,1,
golem-network-tokens,GNT,1,,,1
startcoin,START,1,,,1
eos,EOS,,1,1,
neo,NEO,1,1,1,1
decred,DCR,1,,,1
blocktix,TIX,1,,,1
pura,PURA,1,1,,
adx-net,ADX,,,1,1
bytom,BTM,1,1,,
maidsafecoin,MAID,1,,,1
spreadcoin,SPR,1,,,1
poet,POE,,1,1,
amber,AMB,,1,1,
factom,FCT,1,,,1
pesetacoin,PTC,1,,,1
sibcoin,SIB,1,,,1
gnosis-gno,GNO,1,,,1
ripio-credit-network,RCN,,,1,1
request-network,REQ,,1,1,
stealthcoin,XST,1,,,1
aion,AION,,1,1,
augur,REP,1,,,1
basic-attention-token,BAT,1,,1,1
bitcoin-diamond,BCD,,1,1,
blockmason,BCPT,1,1,1,
cardano,ADA,,,1,1
cybermiles,CMT,1,,1,
digixdao,DGD,,,1,1
everex,EVX,,1,1,
gas,GAS,,1,1,
hshare,HSR,1,1,1,
kyber-network,KNC,1,1,1,
metal,MTL,1,,1,1
modum,MOD,,1,1,
nuls,NULS,,1,1,
omisego,OMG,1,1,1,1
raiden-network-token,RDN,,1,1,
ripple,XRP,,,1,1
status,SNT,,1,1,1
vechain,VEN,,1,1,
zcash,ZEC,1,,1,1
