Ticker,Algo,Network,Exchange,Name
1337,POS,POS,Cryptopia,1337coin
300,None,Asset,Cryptopia,300-token
42,Scrypt,Hybrid,Cryptopia,42-coin
808,SHA256,Hybrid,Cryptopia,808coin
8BIT,POS,POS,Cryptopia,8bit
ACOIN,SHA256,POW,Cryptopia,acoin
ACC,Scrypt,POW,Cryptopia,accelerator-network
ADST,None,Asset,Cryptopia,adshares
ALIS,None,Asset,Cryptopia,alis
ALL,Scrypt,Hybrid,Cryptopia,allion
ABC,None,Asset,Cryptopia,alphabitcoinfund
ALT,None,Asset,Cryptopia,altcoin-alt
ACP,SHA256,POW,Cryptopia,anarchistsprime
ANI,Other,POW,Cryptopia,animecoin
APX,None,Asset,Cryptopia,apx
ARCO,POS,POS,Cryptopia,aquariuscoin
ARC,X11,Hybrid,Cryptopia,arcade-token
ARG,Scrypt,POW,Cryptopia,argentum
ARGUS,Scrypt,POW,Cryptopia,argus
ARI,Scrypt,POW,Cryptopia,aricoin
ARK,None,DPOS,Cryptopia,ark
ABY,Scrypt,POW,Cryptopia,artbyte
AC,POS,POS,Cryptopia,asiacoin
ATMS,Scrypt,POS,Cryptopia,atmos
ATOM,Scrypt,Hybrid,Cryptopia,atomic-coin
ADC,Scrypt,Hybrid,Cryptopia,audiocoin
REP,Scrypt,POW,Cryptopia,augur
AUR,Scrypt,POW,Cryptopia,auroracoin
AU,SHA256,POW,Cryptopia,aurumcoin
B3,Scrypt,POS,Cryptopia,b3coin
BTA,Scrypt,Hybrid,Cryptopia,bata
BAT,Scrypt,POW,Cryptopia,basic-attention-token
BCH,SHA256,POW,Cryptopia,bitcoin-cash
XBTS,X11,POS,Cryptopia,beatcoin
BVC,Scrypt,POW,Cryptopia,beavercoin
BENJI,Scrypt,POW,Cryptopia,benjirolls
BERN,Other,Hybrid,Cryptopia,berncash
BEST,Scrypt,Hybrid,Cryptopia,bestchain
XBL,None,Asset,Cryptopia,billionaire-token
BIP,CryptoNight,POW,Cryptopia,bipcoin
BIS,Other,POW,Cryptopia,bismuth
BTB,Scrypt,Hybrid,Cryptopia,bitbar
BAY,Scrypt,POW,Cryptopia,bitbay
BITB,POS,POS,Cryptopia,bitbean
BXC,CryptoNight,POW,Cryptopia,bitcedi
BTDX,Scrypt,POW,Cryptopia,bitcloud
COAL,CryptoNight,POW,Cryptopia,bitcoal
BTC,SHA256,POW,Cryptopia,bitcoin
BCF,Scrypt,Hybrid,Cryptopia,bitcoinfast
BTCS,Scrypt,POW,Cryptopia,bitcoin-scrypt
BTCD,POS,POS,Cryptopia,bitcoindark
XBC,POS,POS,Cryptopia,bitcoin-plus
BTX,Other,POW,Cryptopia,bitcore
BDL,Scrypt,POW,Cryptopia,bitdeal
BTG,Scrypt,Hybrid,Cryptopia,bitcoin-gold
BRO,POS,POS,Cryptopia,bitradio
BSD,Other,POW,Cryptopia,bitsend
BITS,Scrypt,POS,Cryptopia,bitstar
BLK,POS,POS,Cryptopia,blackcoin
BLC,Blake256,POW,Cryptopia,blakecoin
BLZ,Scrypt,POW,Cryptopia,blazecoin
BCPT,None,Asset,Cryptopia,blockmason
BPL,Other,DPOS,Cryptopia,blockpool
TIX,None,Asset,Cryptopia,blocktix
BNX,X11,POW,Cryptopia,bnrtxcoin
BOLI,X11,POW,Cryptopia,bolivarcoin
BGR,Scrypt,POW,Cryptopia,bongger
BON,None,Asset,Cryptopia,bonpay
BBR,CryptoNight,POW,Cryptopia,boolberry
BWK,Nist5,POW,Cryptopia,bulwark
BUMBA,X11,POS,Cryptopia,bumbacoin
BUN,Scrypt,POW,Cryptopia,bunnycoin
GBYTE,Scrypt,POW,Cryptopia,byteball
BTM,None,Asset,Cryptopia,bytom
XCT,SHA256,POW,Cryptopia,c-bit
CACH,Scrypt_jane,Hybrid,Cryptopia,cachecoin
CMPCO,Scrypt,POW,Cryptopia,campuscoin
CDN,Scrypt,POW,Cryptopia,canada-ecoin
CANN,X11,POW,Cryptopia,cannabiscoin
CCN,Scrypt,POW,Cryptopia,cannacoin
CNNC,POS,POS,Cryptopia,cannation
CAPP,None,Asset,Cryptopia,cappasity
CSC,Scrypt,POW,Cryptopia,casinocoin
CAT,Scrypt,POW,Cryptopia,blockcat
CTR,None,Asset,Cryptopia,centra
CHC,C11,POW,Cryptopia,chaincoin
4CHN,Scrypt,POW,Cryptopia,chancoin
CHESS,Scrypt,POS,Cryptopia,chesscoin
CRX,Scrypt,POW,Cryptopia,chronos
CLAM,Scrypt,Hybrid,Cryptopia,clams
POLL,Other,POW,Cryptopia,clearpoll
CLOAK,POS,POS,Cryptopia,cloakcoin
CTIC3,None,Asset,Cryptopia,coimatic-3
C2,Scrypt,Hybrid,Cryptopia,coin2-1
CNO,X11,Hybrid,Cryptopia,coin
CXT,Nist5,POW,Cryptopia,coinonat
XCXT,X11,Hybrid,Cryptopia,coinonatx
CV2,Scrypt,Hybrid,Cryptopia,colossuscoin-v2
CMT,Scrypt,POW,Cryptopia,cybermiles
CMP,Scrypt,POW,Cryptopia,compcoin
CPN,Scrypt,POW,Cryptopia,compucoin
RAIN,X11,POS,Cryptopia,condensate
CC,Scrypt,Hybrid,Cryptopia,cybercoin
XCPO,POS,POS,Cryptopia,copico
CORG,Scrypt,POS,Cryptopia,corgicoin
COR,None,Asset,Cryptopia,corion
CRAVE,Scrypt,POS,Cryptopia,crave
CRM,X11,POW,Cryptopia,cream
XCRE,POS,POS,Cryptopia,creatio
CREA,Keccak,POW,Cryptopia,creativecoin
CRC,NeoScrypt,POW,Cryptopia,crowdcoin
