,ethereum
2017-12-06,428.59
2017-12-05,463.28
2017-12-04,470.2
2017-12-03,465.85
2017-12-02,463.45
2017-12-01,466.54
2017-11-30,447.11
2017-11-29,427.52
2017-11-28,472.9
2017-11-27,480.36
2017-11-26,471.33
2017-11-25,466.28
2017-11-24,474.91
2017-11-23,410.17
2017-11-22,380.65
2017-11-21,360.4
2017-11-20,366.73
2017-11-19,354.39
2017-11-18,347.61
2017-11-17,332.39
2017-11-16,330.92
2017-11-15,333.36
2017-11-14,337.63
2017-11-13,316.72
2017-11-12,307.91
2017-11-11,314.68
2017-11-10,299.25
2017-11-09,320.88
2017-11-08,309.07
2017-11-07,294.66
2017-11-06,298.89
2017-11-05,296.26
2017-11-04,300.47
2017-11-03,305.71
2017-11-02,287.43
2017-11-01,291.69
2017-10-31,305.88
2017-10-30,307.75
2017-10-29,305.09
2017-10-28,296.3
2017-10-27,297.42
2017-10-26,296.53
2017-10-25,297.93
2017-10-24,298.33
2017-10-23,286.95
2017-10-22,295.45
2017-10-21,300.19
2017-10-20,304.01
2017-10-19,308.09
2017-10-18,314.32
2017-10-17,317.08
2017-10-16,333.38
2017-10-15,336.6
2017-10-14,339.63
2017-10-13,338.76
2017-10-12,304.14
2017-10-11,303.46
2017-10-10,299.87
2017-10-09,297.39
2017-10-08,308.61
2017-10-07,311.12
2017-10-06,308.59
2017-10-05,295.86
2017-10-04,292.66
2017-10-03,292.46
2017-10-02,297.48
2017-10-01,302.34
2017-09-30,301.46
2017-09-29,291.47
2017-09-28,299.15
2017-09-27,306.47
2017-09-26,287.44
2017-09-25,292.33
2017-09-24,282.48
2017-09-23,286.17
2017-09-22,264.31
2017-09-21,258.58
2017-09-20,283.74
2017-09-19,282.8
2017-09-18,293.5
2017-09-17,251.75
2017-09-16,246.52
2017-09-15,250.46
2017-09-14,213.91
2017-09-13,277.11
2017-09-12,291.46
2017-09-11,294.53
2017-09-10,288.75
2017-09-09,294.4
2017-09-08,296.5
2017-09-07,329.43
2017-09-06,334.34
2017-09-05,312.99
2017-09-04,295.17
2017-09-03,347.48
2017-09-02,348.98
2017-09-01,387.74
2017-08-31,383.04
2017-08-30,378.49
2017-08-29,370.67
2017-08-28,347.75
2017-08-27,347.89
2017-08-26,333.88
2017-08-25,331.92
2017-08-24,325.61
2017-08-23,317.52
2017-08-22,314.79
2017-08-21,321.59
2017-08-20,301.43
2017-08-19,297.47
2017-08-18,295.59
2017-08-17,301.46
2017-08-16,302.27
2017-08-15,289.82
2017-08-14,300.1
2017-08-13,298.06
2017-08-12,310.6
2017-08-11,308.86
2017-08-10,295.89
2017-08-09,296.03
2017-08-08,296.77
2017-08-07,269.18
2017-08-06,261.57
2017-08-05,256.51
2017-08-04,223.07
2017-08-03,225.34
2017-08-02,219.95
2017-08-01,226.77
2017-07-31,203.87
2017-07-30,197.98
2017-07-29,205.79
2017-07-28,193.12
2017-07-27,204.32
2017-07-26,203.95
2017-07-25,206.71
2017-07-24,224.71
2017-07-23,225.95
2017-07-22,229.48
2017-07-21,218.31
2017-07-20,227.26
2017-07-19,199.7
2017-07-18,234.39
2017-07-17,193.42
2017-07-16,157.36
2017-07-15,170.66
2017-07-14,199.66
2017-07-13,209.73
2017-07-12,230.77
2017-07-11,197.4
2017-07-10,215.36
2017-07-09,242.14
2017-07-08,251.7
2017-07-07,245.99
2017-07-06,270.55
2017-07-05,268.77
2017-07-04,273.3
2017-07-03,282.9
2017-07-02,287.99
2017-07-01,274.6
2017-06-30,294.92
2017-06-29,302.88
2017-06-28,327.93
2017-06-27,293.09
2017-06-26,272.69
2017-06-25,303.25
2017-06-24,323.7
2017-06-23,341.74
2017-06-22,336.37
2017-06-21,336.87
2017-06-20,359.0
2017-06-19,370.06
2017-06-18,371.46
2017-06-17,379.41
2017-06-16,370.23
2017-06-15,361.93
2017-06-14,359.05
2017-06-13,397.54
2017-06-12,401.49
2017-06-11,340.61
2017-06-10,337.67
2017-06-09,281.74
2017-06-08,261.67
2017-06-07,258.07
2017-06-06,264.47
2017-06-05,248.46
2017-06-04,245.33
2017-06-03,224.38
2017-06-02,223.78
2017-06-01,222.24
2017-05-31,230.67
2017-05-30,231.91
2017-05-29,194.91
2017-05-28,170.51
2017-05-27,157.76
2017-05-26,160.4
2017-05-25,174.45
2017-05-24,190.05
2017-05-23,181.95
2017-05-22,174.26
2017-05-21,157.94
2017-05-20,126.52
2017-05-19,129.53
2017-05-18,96.91
2017-05-17,89.86
2017-05-16,89.44
2017-05-15,92.41
2017-05-14,90.79
2017-05-13,90.84
2017-05-12,88.66
2017-05-11,89.88
2017-05-10,89.52
2017-05-09,91.16
2017-05-08,91.42
2017-05-07,94.01
2017-05-06,97.81
2017-05-05,94.4
2017-05-04,96.98
2017-05-03,79.72
2017-05-02,77.26
2017-05-01,76.3
2017-04-30,79.02
2017-04-29,68.38
2017-04-28,70.16
2017-04-27,62.17
2017-04-26,52.72
2017-04-25,49.89
2017-04-24,50.03
2017-04-23,48.49
2017-04-22,48.55
2017-04-21,48.22
2017-04-20,49.67
2017-04-19,48.31
2017-04-18,50.71
2017-04-17,48.3
2017-04-16,48.72
2017-04-15,49.1
2017-04-14,47.57
2017-04-13,50.22
2017-04-12,46.29
2017-04-11,43.41
2017-04-10,43.44
2017-04-09,43.27
2017-04-08,44.31
2017-04-07,42.16
2017-04-06,43.24
2017-04-05,45.3
2017-04-04,44.64
2017-04-03,44.36
2017-04-02,48.75
2017-04-01,50.7
2017-03-31,50.04
2017-03-30,52.21
2017-03-29,53.13
2017-03-28,50.77
2017-03-27,49.67
2017-03-26,50.52
2017-03-25,51.25
2017-03-24,53.11
2017-03-23,43.68
2017-03-22,42.34
2017-03-21,43.15
2017-03-20,43.39
2017-03-19,44.74
2017-03-18,34.16
2017-03-17,46.83
2017-03-16,46.35
2017-03-15,35.06
2017-03-14,28.65
2017-03-13,28.59
2017-03-12,23.44
2017-03-11,21.47
2017-03-10,19.33
2017-03-09,17.75
2017-03-08,16.65
2017-03-07,18.89
2017-03-06,19.61
2017-03-05,19.3
2017-03-04,18.62
2017-03-03,19.46
2017-03-02,19.03
2017-03-01,17.35
2017-02-28,15.82
2017-02-27,15.4
2017-02-26,14.52
2017-02-25,13.55
2017-02-24,13.07
2017-02-23,13.12
2017-02-22,12.6
2017-02-21,12.67
2017-02-20,12.43
2017-02-19,12.76
2017-02-18,12.81
2017-02-17,12.68
2017-02-16,12.9
2017-02-15,12.92
2017-02-14,13.03
2017-02-13,11.27
2017-02-12,11.4
2017-02-11,11.35
2017-02-10,11.28
2017-02-09,11.03
2017-02-08,11.43
2017-02-07,11.52
2017-02-06,11.39
2017-02-05,11.35
2017-02-04,11.43
2017-02-03,11.11
2017-02-02,10.82
2017-02-01,10.73
2017-01-31,10.73
2017-01-30,10.57
2017-01-29,10.48
2017-01-28,10.56
2017-01-27,10.54
2017-01-26,10.59
2017-01-25,10.57
2017-01-24,10.63
2017-01-23,10.82
2017-01-22,10.7
2017-01-21,10.91
2017-01-20,10.6
2017-01-19,10.4
2017-01-18,10.23
2017-01-17,10.3
2017-01-16,9.64
2017-01-15,9.9
2017-01-14,9.65
2017-01-13,9.77
2017-01-12,9.86
2017-01-11,9.72
2017-01-10,10.55
2017-01-09,10.33
2017-01-08,10.29
2017-01-07,9.87
2017-01-06,10.25
2017-01-05,10.25
2017-01-04,11.25
2017-01-03,9.73
2017-01-02,8.38
2017-01-01,8.17
2016-12-31,7.97
2016-12-30,8.16
2016-12-29,8.28
2016-12-28,7.52
2016-12-27,7.17
2016-12-26,7.27
2016-12-25,7.18
2016-12-24,7.27
2016-12-23,7.17
2016-12-22,7.58
2016-12-21,7.91
2016-12-20,7.66
2016-12-19,7.64
2016-12-18,7.87
2016-12-17,7.88
2016-12-16,7.86
2016-12-15,7.83
2016-12-14,8.27
2016-12-13,8.42
2016-12-12,8.52
2016-12-11,8.19
2016-12-10,8.13
2016-12-09,8.45
2016-12-08,8.23
2016-12-07,8.38
2016-12-06,7.87
2016-12-05,6.82
2016-12-04,7.44
2016-12-03,7.92
2016-12-02,7.76
2016-12-01,8.45
2016-11-30,8.59
2016-11-29,8.17
2016-11-28,8.72
2016-11-27,9.0
2016-11-26,9.33
2016-11-25,9.4
2016-11-24,9.23
2016-11-23,9.84
2016-11-22,9.91
2016-11-21,9.62
2016-11-20,9.58
2016-11-19,9.66
2016-11-18,9.48
2016-11-17,9.99
2016-11-16,10.06
2016-11-15,10.22
2016-11-14,9.97
2016-11-13,10.1
2016-11-12,9.88
2016-11-11,10.29
2016-11-10,10.52
2016-11-09,10.66
2016-11-08,10.83
2016-11-07,10.81
2016-11-06,10.87
2016-11-05,11.0
2016-11-04,11.09
2016-11-03,10.8
2016-11-02,10.75
2016-11-01,10.77
2016-10-31,11.0
2016-10-30,11.18
2016-10-29,10.44
2016-10-28,11.09
2016-10-27,11.5
2016-10-26,11.53
2016-10-25,11.41
2016-10-24,11.97
2016-10-23,12.04
2016-10-22,12.07
2016-10-21,12.18
2016-10-20,12.1
2016-10-19,12.02
2016-10-18,12.59
2016-10-17,12.01
2016-10-16,11.95
2016-10-15,11.98
2016-10-14,11.94
2016-10-13,11.96
2016-10-12,11.93
2016-10-11,11.79
2016-10-10,11.76
2016-10-09,12.05
2016-10-08,12.22
2016-10-07,12.67
2016-10-06,12.85
2016-10-05,13.04
2016-10-04,13.28
2016-10-03,13.45
2016-10-02,13.2
2016-10-01,13.17
2016-09-30,13.22
2016-09-29,13.07
2016-09-28,13.27
2016-09-27,13.1
2016-09-26,12.82
2016-09-25,13.1
2016-09-24,12.88
2016-09-23,13.33
2016-09-22,13.25
2016-09-21,13.77
2016-09-20,14.43
2016-09-19,13.19
2016-09-18,12.43
2016-09-17,12.7
2016-09-16,12.56
2016-09-15,11.94
2016-09-14,11.92
2016-09-13,11.92
2016-09-12,11.89
2016-09-11,11.64
2016-09-10,12.17
2016-09-09,11.65
2016-09-08,11.35
2016-09-07,11.55
2016-09-06,11.69
2016-09-05,11.72
2016-09-04,11.68
2016-09-03,11.76
2016-09-02,12.11
2016-09-01,11.99
2016-08-31,11.67
2016-08-30,11.23
2016-08-29,10.98
2016-08-28,10.93
2016-08-27,11.15
2016-08-26,11.3
2016-08-25,11.36
2016-08-24,11.04
2016-08-23,11.03
2016-08-22,11.12
2016-08-21,11.18
2016-08-20,11.25
2016-08-19,10.75
2016-08-18,10.76
2016-08-17,10.75
2016-08-16,11.14
2016-08-15,11.22
2016-08-14,11.19
2016-08-13,11.57
2016-08-12,11.78
2016-08-11,11.69
2016-08-10,12.14
2016-08-09,12.24
2016-08-08,11.25
2016-08-07,10.91
2016-08-06,10.88
2016-08-05,10.93
2016-08-04,11.04
2016-08-03,10.29
2016-08-02,8.79
2016-08-01,10.94
2016-07-31,11.88
2016-07-30,12.46
2016-07-29,12.79
2016-07-28,12.84
2016-07-27,12.97
2016-07-26,11.99
2016-07-25,13.84
2016-07-24,12.75
2016-07-23,14.3
2016-07-22,14.66
2016-07-21,12.65
2016-07-20,12.45
2016-07-19,11.62
2016-07-18,11.03
2016-07-17,11.16
2016-07-16,11.65
2016-07-15,11.95
2016-07-14,11.51
2016-07-13,10.5
2016-07-12,10.52
2016-07-11,10.46
2016-07-10,10.95
2016-07-09,10.97
2016-07-08,11.39
2016-07-07,10.11
2016-07-06,10.53
2016-07-05,10.61
2016-07-04,11.47
2016-07-03,11.72
2016-07-02,12.13
2016-07-01,12.2
2016-06-30,12.46
2016-06-29,12.61
2016-06-28,12.18
2016-06-27,13.88
2016-06-26,13.85
2016-06-25,14.28
2016-06-24,14.33
2016-06-23,13.68
2016-06-22,13.1
2016-06-21,13.31
2016-06-20,11.84
2016-06-19,12.23
2016-06-18,11.33
2016-06-17,15.38
2016-06-16,20.59
2016-06-15,18.35
2016-06-14,18.89
2016-06-13,17.6
2016-06-12,15.74
2016-06-11,14.19
2016-06-10,13.91
2016-06-09,14.4
2016-06-08,14.42
2016-06-07,14.51
2016-06-06,13.93
2016-06-05,13.97
2016-06-04,13.74
2016-06-03,13.85
2016-06-02,13.74
2016-06-01,14.0
2016-05-31,14.08
2016-05-30,12.73
2016-05-29,12.35
2016-05-28,11.89
2016-05-27,11.3
2016-05-26,12.43
2016-05-25,12.53
2016-05-24,12.73
2016-05-23,13.46
2016-05-22,14.29
2016-05-21,14.02
2016-05-20,13.64
2016-05-19,14.77
2016-05-18,13.56
2016-05-17,12.2
2016-05-16,11.17
