,CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio
salus," 1,009,789.35 "," 6,077.26 "," 90,452,991.68 ",salus,, 0.00601834 , 89.58 , 124.00 ," 1,009,789.35 ", 130.57 ," 1,943,310.00 ",2.15%,100.00%
elastic," 88,355,631.00 "," 5,583.00 "," 83,096,600.00 ",elastic,, 0.00005583 , 0.83 , 128.00 ," 100,000,000.00 ", 313.57 ," 4,667,060.00 ",5.62%,88.36%
potcoin," 219,118,200.74 "," 5,328.38 "," 79,306,984.22 ",potcoin,, 0.00002432 , 0.36 , 130.00 ," 219,118,200.74 ", 422.87 ," 6,293,910.00 ",7.94%,100.00%
pascal-coin," 16,644,100.00 "," 5,041.66 "," 75,039,425.53 ",pascal-coin,, 0.00030291 , 4.51 , 134.00 ," 16,644,100.00 ", 226.27 ," 3,367,700.00 ",4.49%,100.00%
blackcoin," 76,587,743.40 "," 4,862.99 "," 72,380,089.36 ",blackcoin,, 0.00006350 , 0.95 , 137.00 ," 76,587,743.40 ", 306.03 ," 4,554,850.00 ",6.29%,100.00%
lomocoin," 223,191,685.31 "," 4,612.34 "," 68,649,389.71 ",lomocoin,, 0.00001497 , 0.22 , 139.00 ," 308,191,685.31 ", 280.88 ," 4,180,500.00 ",6.09%,72.42%
gridcoin," 390,312,753.15 "," 4,365.14 "," 64,970,289.95 ",gridcoin,, 0.00001118 , 0.17 , 143.00 ," 390,312,753.15 ", 183.91 ," 2,737,340.00 ",4.21%,100.00%
omni," 560,390.24 "," 4,077.83 "," 60,693,761.43 ",omni,, 0.00661227 , 98.42 , 149.00 ," 616,706.24 ", 99.76 ," 1,484,760.00 ",2.45%,90.87%
monetaryunit," 121,603,200.95 "," 3,957.92 "," 58,908,968.25 ",monetaryunit,, 0.00003255 , 0.48 , 151.00 ," 121,603,200.95 ", 440.51 ," 6,556,550.00 ",11.13%,100.00%
geocoin," 3,369,766.00 "," 3,821.75 "," 56,882,324.03 ",geocoin,, 0.00113413 , 16.88 , 152.00 ," 3,369,766.00 "," 2,278.93 "," 33,919,200.00 ",59.63%,100.00%
whitecoin," 248,612,407.19 "," 3,640.06 "," 54,178,113.00 ",whitecoin,, 0.00001464 , 0.22 , 153.00 ," 248,612,407.19 ", 194.93 ," 2,901,290.00 ",5.36%,100.00%
okcash," 73,577,877.96 "," 3,531.40 "," 52,560,872.17 ",okcash,, 0.00004800 , 0.71 , 156.00 ," 73,577,877.96 ", 559.97 ," 8,334,430.00 ",15.86%,100.00%
bitbean," 2,297,992,000.00 "," 3,353.57 "," 49,913,994.83 ",bitbean,, 0.00000146 , 0.02 , 162.00 ," 2,297,992,000.00 ", 303.43 ," 4,516,250.00 ",9.05%,100.00%
global-currency-reserve," 103,578,288.41 "," 3,252.45 "," 48,409,073.92 ",global-currency-reserve,, 0.00003140 , 0.47 , 164.00 ," 103,578,288.41 ", 488.21 ," 7,266,460.00 ",15.01%,100.00%
solaris," 902,337.00 "," 3,164.73 "," 47,103,423.58 ",solaris,, 0.00300819 , 44.77 , 166.00 ," 1,052,038.00 ", 167.05 ," 2,486,340.00 ",5.28%,85.77%
luxcoin," 775,888.19 "," 3,126.25 "," 46,530,647.78 ",luxcoin,, 0.00082795 , 12.32 , 167.00 ," 3,775,888.19 ", 74.31 ," 1,106,010.00 ",2.38%,20.55%
vericoin," 30,566,129.69 "," 3,124.74 "," 46,508,505.95 ",vericoin,, 0.00010223 , 1.52 , 168.00 ," 30,566,129.69 ", 261.99 ," 3,899,380.00 ",8.38%,100.00%
steem-dollars," 4,927,803.37 "," 3,109.77 "," 46,285,428.01 ",steem-dollars,, 0.00063107 , 9.39 , 169.00 ," 4,927,803.37 ", 224.29 ," 3,338,260.00 ",7.21%,100.00%
neoscoin," 3,641,098.05 "," 3,105.90 "," 46,227,745.01 ",neoscoin,, 0.00085301 , 12.70 , 170.00 ," 3,641,098.05 ", 163.78 ," 2,437,660.00 ",5.27%,100.00%
radium," 3,423,162.38 "," 3,064.67 "," 45,613,981.00 ",radium,, 0.00089528 , 13.33 , 171.00 ," 3,423,162.38 ", 273.35 ," 4,068,490.00 ",8.92%,100.00%
stealthcoin," 27,772,921.70 "," 2,695.44 "," 40,118,540.85 ",stealthcoin,, 0.00009705 , 1.44 , 173.00 ," 27,772,921.70 ", 136.08 ," 2,025,400.00 ",5.05%,100.00%
