 MktCapBTC , MktCapUSD ,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply,
" 5,049.38 "," 5,049.38 ",bitcny,BTS, 0.00 , 0.14 ," 521,544,000.00 "," 3,160.77 "," 46,895,900.00 "," 521,544,000.00 ",
" 1,845.00 "," 1,845.00 ",bitusd,BTS, 0.00 , 0.99 ," 27,690,100.00 ", 306.13 ," 4,541,950.00 "," 27,690,100.00 ",
" 3,449.54 "," 3,449.54 ",moeda-loyalty-points,ETH, 0.00 , 2.61 ," 19,628,888.00 ", 318.89 ," 4,731,350.00 "," 19,628,888.00 ",
" 2,605.25 "," 2,605.25 ",swarm-city,ETH, 0.00 , 4.82 ," 8,015,698.76 ", 225.46 ," 3,345,080.00 "," 8,015,698.76 ",
 27.59 , 27.59 ,bitsilver,BTS, 0.00 , 19.49 ," 21,009.90 ", 1.92 ," 28,431.50 "," 21,009.90 ",
" 1,907.41 "," 1,907.41 ",elixir,ETH, 0.00 , 0.94 ," 30,075,281.43 ", 132.36 ," 1,963,850.00 "," 30,075,281.43 ",
 923.74 , 923.74 ,creditbit,ETH, 0.00 , 0.83 ," 16,511,828.17 ", 60.17 ," 892,722.00 "," 16,511,828.17 ",
" 14,189.57 "," 14,189.57 ",triggers,XCP, 0.00 , 6.56 ," 32,105,577.51 ", 896.81 ," 13,305,800.00 "," 32,105,577.51 ",
 417.56 , 417.56 ,cryptoping,WAVES, 0.00 , 0.62 ," 9,952,089.00 ", 22.28 ," 330,617.00 "," 9,952,089.00 ",
" 21,958.72 "," 21,958.72 ",aelf,ETH, 0.00 , 1.25 ," 260,000,000.00 "," 6,654.79 "," 98,735,900.00 "," 250,000,000.00 ",
" 191,064.60 "," 191,064.60 ",icon,ETH, 0.00 , 7.08 ," 400,230,000.00 "," 10,110.30 "," 150,005,000.00 "," 377,545,005.00 ",
" 10,406.34 "," 10,406.34 ",firstblood,ETH, 0.00 , 1.65 ," 93,468,691.00 "," 1,207.43 "," 17,914,400.00 "," 85,558,370.50 ",
" 8,219.92 "," 8,219.92 ",wings,ETH, 0.00 , 1.22 ," 100,000,000.00 ", 446.19 ," 6,620,020.00 "," 89,708,333.00 ",
" 1,899.46 "," 1,899.46 ",suncontract,ETH, 0.00 , 0.23 ," 122,707,502.69 ", 134.86 ," 2,000,870.00 "," 109,212,011.15 ",
 93.01 , 93.01 ,senderon,ETH, 0.00 , 0.03 ," 45,625,900.00 ", 9.08 ," 134,668.00 "," 40,592,900.00 ",
" 7,015.51 "," 7,015.51 ",humaniq,ETH, 0.00 , 0.57 ," 184,194,944.04 ", 925.39 ," 13,729,800.00 "," 162,862,944.04 ",
 158.53 , 158.53 ,bitcoin-red,ETH, 0.00 , 0.11 ," 21,000,000.00 ", 8.98 ," 133,177.00 "," 18,184,926.50 ",
" 3,794.81 "," 3,794.81 ",genesis-vision,ETH, 0.00 , 12.69 ," 4,436,643.93 ", 254.18 ," 3,771,260.00 "," 3,726,780.90 ",
" 6,963.82 "," 6,963.82 ",viberate,ETH, 0.00 , 0.52 ," 200,000,000.00 "," 1,231.62 "," 18,273,300.00 "," 162,299,801.43 ",
" 33,078.03 "," 33,078.03 ",decentraland,ETH, 0.00 , 0.17 ," 2,805,886,393.16 "," 6,212.35 "," 92,171,600.00 "," 2,273,755,650.00 ",
